Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,M/S CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,M/S JANET - BETHANIA,ABT. ELENA - BETHANIA,M/S ESTELA - BETHANIA,M/S EL PROGRESO - PARQUE LEFEVRE,M/S EL CHEVERE - PARQUE LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,M/S MAGIC PAN,ABA. LOS AMIGOS,M/S PUEBLO NUEVO,M/S ROSITA,M/S CHONSITO - PUEBLO NUEVO,M/S FUENTE DE ORO - SAN FCO,M/S ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,M/S PAN,ABT. LE‡N-SAN MIGUELITO,M/S FLORECIENTE,ABT. DENIA-SAN MIGUELITO,M/S - JIMMY LIAO,M/S - EXCELENTE -JUAN D÷AZ,M/S - JUAN D÷AZ,M/S JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,M/S PLAZA AMADOR,ABT EDITH- SANTA ANA,M/S EXPRESO-CALIDONIA,M/S ROY-CALIDONIA,M/S EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABA. BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.70,0.75,0.76,0.76,0.54,0.39,0.39,0.45,0.50,0.70,0.55,0.45,0.45,0.45,0.48,0.48,0.65,0.45,0.45,0.55,,,0.55,0.45,0.45,0.43,0.55,0.69,0.65,0.45,0.45,0.45,0.50,0.49,0.40,0.55,0.55,0.45,0.41,0.65,0.45,0.41,0.55,0.65,0.54,0.42,0.45,0.42,0.48,0.40,0.41,0.85,,0.95,0.85,0.85,0.75,,0.85,0.85,0.80,0.85,0.75,0.80,0.80,0.50,0.75,0.75,0.85,0.80,0.85,0.75,0.85,0.85,0.85,0.55,0.75,0.80,0.75,0.85,0.65,0.50,0.75,0.55,0.80,0.55,,0.49,0.45,0.55
Tuna en Agua *,142 Gramos,1.56,1.80,1.51,1.10,1.65,1.15,1.15,1.15,1.06,1.63,1.59,1.49,1.15,1.15,1.33,1.03,1.65,1.25,1.15,1.65,1.30,1.56,1.65,1.15,1.15,1.56,1.55,1.70,1.65,1.15,1.15,1.15,1.47,1.14,1.14,1.35,1.57,1.15,1.56,1.50,1.49,1.14,1.09,1.09,1.70,1.25,1.20,1.20,1.07,1.30,1.07,1.75,1.75,1.85,1.95,1.65,1.50,,,1.65,1.60,1.55,1.55,,1.65,,1.65,,1.50,,,,1.75,1.25,1.50,1.65,1.65,,,,,1.65,1.75,1.50,,,1.65,1.15,1.09,1.55
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.72,8.86,,,6.50,7.91,5.49,5.49,7.87,8.27,8.27,7.91,7.91,5.49,8.25,8.25,10.54,5.49,5.49,6.50,7.91,7.72,8.80,5.49,5.49,5.34,8.27,,,5.49,5.49,5.49,8.25,7.72,8.25,8.27,5.49,5.49,7.76,8.31,7.91,,,,,7.91,7.91,,7.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.62,8.62,5.71,4.96,4.96,4.96,8.07,,8.62,8.36,,4.96,8.07,,5.71,8.36,4.96,5.71,,,5.71,4.96,4.96,4.87,8.62,,,4.96,4.96,4.96,8.07,8.07,8.07,,4.96,4.96,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.34,3.42,7.83,7.83,3.42,7.61,7.61,7.61,3.42,3.42,3.42,7.61,3.42,3.42,3.42,3.42,,7.61,7.61,3.42,3.42,7.32,3.42,7.61,3.42,3.42,3.42,3.42,3.35,7.61,3.42,3.42,3.42,3.37,3.42,3.42,3.42,3.42,3.42,3.35,7.61,3.42,3.42,3.42,3.35,3.42,3.42,3.42,3.42,3.35,3.42,,,8.49,,,,,7.72,7.94,7.72,,7.39,,7.61,,7.17,,,,,7.72,7.39,6.33,,,4.74,,,,,,,7.72,7.39,7.72,7.61,3.42,3.42,4.63
Arroz de Primera *,1 Kilogramos,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.87,0.88,0.88,0.88,0.85,0.85,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.77,0.85,0.88,0.88,0.88,0.88,0.88,0.86,0.85,0.88,0.87,0.88,0.88,0.86,0.86,0.86,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,,,,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88
Codito *,454 Gramos,0.91,0.90,0.58,0.58,0.60,0.79,0.79,0.79,0.45,0.86,0.88,0.79,0.79,0.79,0.57,0.69,0.60,0.79,0.79,0.95,0.79,0.86,0.63,0.79,0.79,0.55,0.87,0.60,0.60,0.79,0.79,0.79,0.77,0.65,0.70,0.72,0.67,0.79,0.88,0.80,0.79,0.88,0.85,0.83,0.80,0.79,0.79,0.79,0.77,0.76,0.77,1.00,0.95,0.95,1.00,1.00,0.95,,0.95,0.90,0.85,0.85,0.95,0.85,0.85,0.90,0.85,0.85,0.95,0.85,0.85,1.00,0.90,0.75,0.85,1.00,0.95,1.00,,0.85,,0.80,0.95,0.85,0.90,0.85,0.85,0.89,0.69,0.95
Crema  de Ma°z *,300 Gramos,,0.79,0.63,0.63,0.79,0.60,0.60,0.60,0.64,0.59,0.59,0.60,0.60,0.60,0.57,0.57,0.60,0.60,0.65,0.79,0.65,0.70,0.79,0.60,0.65,0.59,0.59,0.79,0.79,0.60,0.60,0.60,0.53,0.57,0.57,0.59,0.59,0.60,0.59,0.79,0.60,0.59,0.59,0.59,0.79,0.41,0.65,,0.57,0.69,0.67,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.85,0.70,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,2.25,2.05,2.50,2.50,1.95,1.79,1.69,1.69,1.98,1.97,1.97,1.69,1.69,1.69,2.45,1.98,1.95,1.69,1.69,2.05,1.89,2.44,2.05,1.79,1.69,2.45,1.97,1.95,1.95,1.69,1.69,1.69,2.45,1.98,1.98,1.97,2.81,1.69,2.99,1.95,3.05,2.99,2.46,2.46,2.85,3.05,3.05,3.05,2.44,2.63,2.44,3.75,,,,,2.50,,3.00,,,,,,,,,,,,,,,,2.45,,,,2.85,,,,,2.50,3.95,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.88,0.63,0.95,0.58,0.60,0.63,0.82,0.57,0.45,0.65,0.58,0.57,0.57,0.57,0.57,0.61,0.60,0.57,0.82,0.63,0.57,0.91,0.63,0.57,0.57,0.55,0.58,0.60,0.60,0.57,0.82,0.57,0.55,0.55,0.58,0.58,0.58,0.63,0.56,0.60,0.63,,,,0.80,0.63,0.63,0.63,0.61,0.56,0.61,1.00,1.00,0.95,1.00,0.75,0.95,,0.85,0.90,0.85,0.85,0.85,0.85,0.85,,0.85,0.85,0.95,0.85,0.85,,0.85,0.59,0.85,0.80,0.75,0.80,,0.80,0.59,0.60,0.90,0.85,0.85,0.85,0.85,,,
Pan de Michita *,1 Kilogramos,,2.65,,,2.65,2.49,,,,,,,,,3.00,,2.65,,,2.65,,,2.65,,,,,,,,,,,2.25,3.00,,,,,2.65,3.70,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.91,0.92,0.92,0.92,0.87,0.88,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.92,0.92,0.92,0.91,,0.90,0.90,,0.91,0.91,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,,,,0.90,,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.92,0.92,0.92
Tortilla de Ma°z *,10 Unidades,1.10,0.75,1.45,,0.75,0.75,0.75,0.75,0.75,1.15,0.98,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.05,0.75,1.09,1.15,0.75,0.75,0.75,0.79,0.75,0.75,0.75,0.75,0.75,0.75,0.73,0.75,0.75,0.75,0.75,0.76,0.79,1.13,0.75,0.97,1.12,0.85,0.99,1.05,1.05,1.05,0.83,0.75,0.68,1.15,,1.25,,1.00,1.00,1.10,1.00,1.10,1.25,1.00,1.00,,1.00,1.10,1.00,1.00,,1.00,1.00,1.15,1.00,1.00,1.00,1.10,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.85,0.95,0.99,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,3.27,2.39,3.95,3.95,2.35,1.99,2.49,1.99,1.97,2.19,2.25,1.99,1.99,1.99,2.82,1.28,2.39,1.99,2.49,,,3.27,2.39,1.99,1.99,1.59,2.35,2.36,2.36,1.99,1.99,2.49,1.97,1.57,1.57,2.25,2.25,1.99,1.59,2.36,1.99,1.59,1.99,,2.36,,2.49,2.49,1.46,1.43,3.15,2.76,,3.20,,,,,,3.31,3.31,2.20,2.20,,2.76,2.20,3.31,2.76,,2.20,,,3.31,2.20,2.76,,,,,,2.20,,,3.86,3.31,2.20,3.31,1.50,,2.75
Ajo *,1 Kilogramos,3.35,4.55,4.50,4.50,4.55,2.68,2.68,2.68,2.66,3.49,3.70,2.68,4.19,2.68,2.60,2.60,4.55,2.68,2.68,4.55,2.68,,4.52,2.68,2.68,,3.70,4.55,4.55,2.68,2.68,2.68,2.66,2.66,3.47,3.70,3.70,2.68,3.86,4.55,2.68,3.49,3.70,3.70,4.55,2.68,2.68,2.68,3.47,4.43,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.62,3.20
Cebolla Amarilla *,1 Kilogramos,,1.75,1.76,1.76,1.75,1.76,1.76,1.76,1.73,1.74,1.76,1.76,1.36,1.76,1.72,1.72,1.75,1.76,1.76,1.75,1.76,,1.75,1.76,1.76,1.75,1.74,1.75,1.75,1.76,1.76,1.76,1.73,1.74,1.76,1.74,1.74,1.76,1.76,1.74,,1.75,1.74,,1.75,1.76,1.76,1.76,1.73,1.70,1.73,1.76,1.76,1.76,,1.76,,,1.54,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.76,,,1.76,1.76,1.76,1.76,1.72,1.52,1.76
Lechuga *,1 Kilogramos,2.93,3.10,4.45,4.45,3.10,2.75,2.49,2.49,,2.25,2.25,2.49,3.89,2.49,3.57,,3.10,2.49,2.49,3.10,,2.93,3.10,2.49,2.49,3.75,3.89,,3.10,2.49,2.49,2.49,3.08,,,2.25,2.99,2.75,3.75,3.09,2.49,3.75,1.75,,3.10,3.89,2.49,3.09,2.96,2.87,2.96,4.08,3.86,4.30,,2.76,3.31,,2.76,3.31,3.31,3.31,3.31,,3.31,3.31,3.31,2.76,,,,2.98,3.31,2.20,3.31,,3.31,3.31,,,3.31,,,,4.41,2.20,,2.18,2.18,2.75
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.85,,0.85,0.75,0.79,0.85,0.85,0.85,0.85,,,0.88,0.85,,0.88,0.85,,0.88,0.85,,0.75,0.85,0.88,0.88,0.85,,,0.86,0.73,,0.85,0.85,0.85,0.75,0.88,0.85,0.75,,,0.88,0.85,0.85,0.85,0.73,,0.73,,,0.88,,,,,,,,0.88,0.88,,,,0.88,0.88,,0.88,0.84,,0.88,0.88,0.88,,,,,,,,,0.88,,0.88,0.88,,0.84,0.88
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.50,1.54,1.54,1.54,1.54,1.54,1.19,1.19,1.54,1.54,1.32,1.52,1.54,1.54,1.54,1.54,1.54,1.44,1.54,1.52,1.52,1.54,1.54,1.54,1.50,1.50,1.42,1.54,1.54,1.54,1.52,1.52,1.54,1.53,1.54,1.54,1.52,1.54,1.54,1.54,1.50,1.52,1.50,1.54,1.54,1.54,,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,1.54,1.54,1.54,1.54,,1.32,1.32,1.54,1.54,1.54,1.54,1.32,1.54,1.54,,,1.32,,,1.54,1.54,1.32,1.54,1.21,1.54,1.54
Pl†tano Verde *,1 Unidades,,,,,,,,,,0.27,,,,,,,,,,,0.27,,,,,,,,,,,,,,,,,,,0.25,,0.21,0.27,0.27,0.25,0.27,0.27,0.27,0.21,0.20,0.22,0.50,0.35,0.40,,0.40,0.35,0.40,0.35,0.35,0.35,0.35,0.35,0.35,0.45,0.45,0.35,0.40,,0.35,0.35,0.40,0.35,0.35,0.40,0.35,0.35,0.35,,0.35,0.35,,0.35,0.35,0.40,0.35,0.40,,,
Repollo Verde *,1 Kilogramos,2.17,1.78,,3.08,1.71,2.19,1.99,2.19,1.76,2.35,2.35,1.99,2.19,1.99,2.41,1.97,1.78,1.99,1.99,1.78,1.99,2.17,1.43,1.99,1.97,1.87,2.35,1.78,1.78,2.19,2.19,1.99,2.45,1.87,1.85,2.35,2.35,2.19,1.98,1.76,2.19,2.34,2.19,2.35,1.78,1.99,1.99,1.99,2.53,2.77,2.17,2.76,2.20,2.76,,1.76,2.20,,2.76,2.20,2.20,2.20,2.20,,1.65,2.20,2.20,2.20,,1.76,,2.20,2.65,1.65,2.76,2.20,1.65,2.76,,,2.09,,,2.76,2.76,1.43,2.76,1.52,1.52,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.71,2.71,2.71,2.71,2.71,2.59,2.59,2.59,2.57,2.55,2.71,2.59,2.71,2.59,2.33,2.33,2.71,2.59,2.59,2.71,2.71,2.71,2.69,2.59,2.59,2.65,2.71,2.69,2.69,2.59,2.59,2.59,2.57,2.57,2.53,2.71,2.71,2.59,2.65,2.69,2.59,2.65,2.71,2.71,2.69,2.59,2.59,2.71,2.57,2.27,2.57,2.71,3.31,2.71,,2.76,2.71,,2.71,2.71,2.65,2.71,2.71,,2.71,2.71,2.71,2.71,,2.20,,3.31,2.65,2.76,2.71,2.71,2.54,2.71,,,2.71,,,2.71,2.71,2.20,2.71,1.96,1.50,1.65
Yuca *,1 Kilogramos,0.84,0.66,,,0.66,,,,0.82,,,,,,,0.58,0.66,,,0.66,,0.84,0.66,,,0.62,,0.66,0.66,,,,0.64,0.66,0.60,,,,0.62,0.66,,0.62,,,0.66,,,,0.60,0.60,0.60,,,,,,,,,0.84,,,,,,,,,,,,,,,0.84,,,,,,,,,,,0.84,,0.64,0.84,0.83
Zanahoria *,1 Kilogramos,1.67,1.67,2.45,2.45,1.67,1.89,1.59,1.89,1.65,1.65,1.65,1.65,1.89,1.65,1.17,1.47,1.67,1.65,1.65,1.67,,1.67,1.67,1.65,1.65,1.19,1.65,1.67,1.67,1.89,1.59,1.65,1.63,1.21,1.17,1.65,1.65,1.87,1.23,1.68,1.89,1.38,1.19,1.65,1.67,1.89,1.65,1.65,1.36,1.33,1.36,2.76,1.65,2.09,,1.76,2.20,2.20,2.20,2.20,2.20,1.65,1.65,,2.20,2.20,2.20,2.20,,1.76,1.65,2.20,2.65,1.65,2.76,2.20,1.65,2.20,,,2.09,,,2.76,3.31,1.65,2.20,1.52,1.52,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,3.06,3.00,3.00,2.98,2.54,2.54,2.87,1.98,2.36,2.36,2.62,2.54,2.54,2.65,2.14,2.98,2.84,2.54,3.06,2.34,2.89,3.06,2.62,2.54,2.18,2.36,2.98,2.98,2.62,2.62,2.54,2.05,2.80,1.85,2.36,2.36,2.62,2.18,2.98,2.84,2.62,2.84,2.36,3.42,2.84,2.54,2.98,2.07,2.31,2.29,,,3.86,,,3.31,,,,,3.20,3.31,,,,3.31,3.31,,3.09,,2.76,3.31,3.31,3.20,,3.86,,,,,2.76,,,,,,2.98,2.87,3.20
Lentejas *,1 Kilogramos,1.79,1.50,1.79,1.65,1.43,1.43,1.43,1.21,1.39,1.30,1.30,1.85,1.43,1.43,1.26,1.48,1.43,1.43,1.85,1.50,1.43,1.81,1.50,1.43,1.43,1.43,1.30,1.43,1.43,1.43,1.85,1.43,1.48,1.48,1.26,1.30,1.43,1.21,1.43,1.43,1.43,1.43,1.30,1.30,1.43,1.96,1.43,1.54,1.26,1.01,1.26,2.09,2.09,2.20,2.76,2.20,,2.09,1.87,1.87,1.87,1.87,1.87,,1.87,2.76,1.65,2.20,1.87,1.65,1.87,,1.87,1.87,1.87,1.65,1.65,1.87,,1.65,1.65,1.65,1.87,1.87,1.87,1.87,1.61,1.61,1.59,1.87
Porotos Rojos *,1 Kilogramos,2.69,2.65,2.70,2.78,2.54,2.76,2.98,2.76,1.85,2.09,2.09,2.62,2.76,2.98,2.05,2.93,2.54,2.98,2.98,2.65,2.98,2.69,2.65,2.62,2.67,2.62,2.09,2.57,2.54,2.62,2.62,2.62,2.05,2.71,1.98,2.09,2.09,2.76,2.76,2.54,3.28,,2.76,2.76,2.54,2.62,2.98,2.76,2.49,2.14,2.49,3.31,3.42,3.64,,2.76,3.20,3.31,3.31,3.31,3.20,2.98,3.31,,3.31,3.20,2.98,,2.76,2.98,2.76,,3.20,2.76,3.20,3.31,3.20,3.31,,2.98,3.31,2.98,3.31,3.31,3.42,3.20,2.76,2.98,2.98,2.98
