Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.73,0.55,0.77,0.76,0.70,0.45,0.45,0.45,0.71,0.55,0.55,0.45,0.45,0.45,0.53,0.67,0.54,0.45,0.42,0.69,0.45,0.68,0.69,0.42,0.42,0.48,0.55,0.69,0.65,0.45,0.45,0.45,0.55,0.48,0.49,0.55,0.55,0.45,0.44,0.75,0.52,0.44,0.55,0.55,0.54,0.42,0.42,0.42,0.48,0.47,,0.85,0.90,0.95,0.85,0.85,,0.95,0.60,0.90,0.85,0.85,,,0.90,0.85,0.75,0.75,0.80,0.80,0.85,0.75,0.85,0.85,0.85,0.85,0.75,0.85,0.85,,0.75,0.50,0.75,0.60,0.80,0.55,0.65,0.45,0.45,0.55
Tuna en Agua *,142 Gramos,1.56,1.55,1.51,1.51,1.50,1.30,1.25,1.15,1.50,1.63,1.59,1.15,1.15,1.15,1.33,1.10,1.50,1.49,1.30,1.55,1.15,1.56,,1.49,1.49,1.56,1.63,1.65,1.65,1.25,1.15,1.25,1.49,1.14,1.54,1.59,1.35,1.25,1.56,1.50,1.49,1.14,1.09,1.09,1.50,1.20,1.20,,1.07,1.44,1.07,1.75,1.70,1.85,,1.50,,1.65,1.65,,1.60,1.50,,1.65,1.65,1.55,1.65,,,,,,1.60,,,1.65,1.55,1.65,,,,1.65,1.75,1.50,,,,1.15,,1.55
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.91,6.50,,,8.80,7.91,5.49,5.49,,8.27,8.27,7.91,7.91,5.49,7.87,7.87,,7.91,7.91,8.80,5.49,,8.80,7.83,7.91,7.76,8.27,6.50,10.54,7.91,,5.49,8.25,7.72,,8.27,8.73,5.49,7.76,8.31,7.91,,,,,5.49,,,,,,,,9.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,5.71,8.62,8.62,,4.96,4.96,4.96,,8.62,8.62,8.36,4.96,4.96,,,,4.96,4.96,,4.96,,6.50,5.62,,,,,,8.36,,4.96,8.07,8.07,8.07,5.49,,4.96,,5.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.34,3.42,7.83,7.83,3.42,7.61,7.61,7.61,,3.42,3.42,7.61,3.42,3.42,3.42,3.42,4.19,4.17,4.17,7.83,7.61,4.61,3.42,4.17,4.30,4.30,3.13,3.42,3.35,7.61,7.61,3.42,3.42,3.42,7.74,3.42,3.42,7.61,7.78,,7.61,3.42,4.17,3.42,4.19,3.42,,3.42,3.42,3.35,,,,8.49,,7.17,7.39,,7.72,,,,7.39,,7.61,,7.03,,,,,,,,,,,,,,,,,7.72,7.39,,,3.42,,4.63
Arroz de Primera *,1 Kilogramos,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.87,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.88,0.85,0.85,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.88,0.88,0.87,0.88,0.86,0.86,0.85,,,,,,,0.88,0.88,,,0.88,0.88,,,0.88,0.88,0.88,0.88,,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.88
Codito *,454 Gramos,0.91,0.50,0.92,0.92,0.80,0.79,0.79,0.79,0.88,0.86,0.86,0.79,0.79,0.79,0.88,0.86,0.50,0.79,0.79,0.70,0.79,0.99,0.50,0.79,0.79,0.88,0.88,0.50,0.50,0.79,0.79,0.79,0.45,0.45,0.76,0.45,0.80,0.79,0.55,0.50,0.79,0.55,0.69,0.55,0.60,0.95,0.79,0.79,0.78,0.76,0.78,1.00,0.90,0.95,1.00,1.00,0.95,0.95,0.95,0.90,0.85,0.85,0.95,0.90,0.85,0.90,0.90,0.85,0.95,1.00,0.85,1.00,0.90,0.90,0.85,1.00,0.95,1.00,,0.85,0.45,0.60,0.95,0.85,,,0.59,0.49,0.69,0.95
Crema  de Ma°z *,300 Gramos,,0.79,0.63,0.63,0.79,0.60,0.60,0.65,,0.59,0.59,0.60,0.60,0.60,0.57,0.69,0.79,0.60,0.60,0.79,0.60,,0.79,0.60,0.60,0.70,,0.79,0.79,0.60,0.60,0.60,0.63,0.57,0.57,0.59,0.59,0.71,0.59,0.79,0.65,0.59,0.59,0.59,0.79,0.71,0.65,,0.57,,0.68,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,0.70,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,2.00,3.13,3.13,1.95,1.59,1.59,1.59,,1.95,2.97,1.59,1.59,1.59,1.75,1.75,2.00,1.99,1.79,2.05,1.99,2.25,2.05,1.79,1.99,1.98,,2.00,2.00,1.59,2.49,1.79,1.98,1.98,1.98,1.89,2.89,1.59,3.05,2.85,3.05,3.05,2.46,2.79,,3.05,3.05,,2.77,,2.77,3.75,,3.45,,,2.50,,,2.45,,2.25,,,,2.75,2.50,,,,,,,,,,,,,,,,,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.93,0.95,0.85,0.58,0.50,0.63,0.63,0.63,,0.58,0.69,0.63,0.63,0.63,0.77,0.61,0.50,0.63,0.63,0.75,0.63,0.88,0.50,0.63,0.63,0.52,0.80,0.50,0.50,0.63,0.63,0.63,0.58,0.45,0.60,0.45,0.58,0.63,0.52,0.50,0.63,,,,0.80,,0.59,0.63,0.75,0.56,0.75,1.00,1.00,0.95,1.00,0.85,0.75,0.95,0.85,0.90,0.85,0.85,0.60,0.85,0.95,0.85,0.85,0.77,0.95,0.75,,0.85,0.85,0.59,0.85,0.85,0.75,0.90,,0.80,0.59,0.70,0.90,0.85,0.85,0.85,0.85,,0.49,
Pan de Michita *,1 Kilogramos,,2.65,,,2.65,,,,,,,,2.45,,3.00,3.00,,,,2.65,,,,,,,,,2.65,,2.49,,,2.25,,,,,2.25,2.65,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.70,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.90,0.91,0.92,0.92,,0.92,0.90,,,,0.92,0.92,,,0.92,0.92,0.92,0.92,0.91,0.92,,0.92,0.92,0.92,0.90,0.90,,0.91,0.92,0.92,0.92,,,0.92,0.91,,,,0.92,,0.90,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,0.92,,,,,,,,0.92,
Tortilla de Ma°z *,10 Unidades,1.10,0.75,1.49,1.45,0.75,0.75,0.75,0.75,,1.25,1.09,0.75,0.75,1.05,0.95,0.75,1.53,0.75,1.05,0.75,0.75,1.10,1.25,1.05,1.05,0.79,,0.98,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,1.19,0.72,0.79,0.75,0.75,0.99,0.99,,0.96,,,1.09,0.83,0.95,0.95,1.15,,,,1.25,1.00,1.25,1.00,1.10,1.25,1.00,1.00,,1.00,1.00,1.00,1.00,,1.00,1.00,1.15,1.00,0.90,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,,0.99,0.99,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,3.27,2.39,3.95,3.95,2.35,2.29,2.29,2.29,2.27,1.99,1.99,2.29,2.29,2.29,,1.66,2.39,2.29,2.29,2.36,2.29,1.82,2.39,2.29,2.29,1.95,1.98,2.36,2.36,2.29,2.29,2.29,2.27,1.57,1.93,1.99,1.65,2.29,1.59,2.36,2.29,1.79,1.99,,2.36,2.29,2.29,2.49,2.47,,2.27,2.76,,3.86,,2.20,2.76,,3.31,,,,,,3.31,2.76,3.31,,,,,,,,,2.20,,2.76,,,2.20,,,3.86,3.31,2.20,3.31,3.31,1.52,2.75
Ajo *,1 Kilogramos,3.35,4.55,4.50,4.50,4.55,2.68,2.95,2.68,,2.65,2.99,2.95,2.95,2.95,2.60,2.60,4.55,2.68,2.68,4.55,2.68,,4.52,2.68,2.68,,,4.55,4.55,2.95,2.68,2.68,2.66,2.66,3.47,2.99,2.99,2.68,,4.55,2.68,,2.99,2.99,4.55,2.68,2.68,2.68,3.47,4.43,3.47,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,,,,,,,2.40,
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,,1.76,1.75,1.76,1.76,1.76,,,1.76,1.76,1.76,1.76,,,,,1.76,1.75,1.76,,1.75,1.76,1.76,1.75,,,1.75,,,,,,1.76,1.76,1.76,,1.75,,1.76,1.75,1.76,1.76,1.75,1.76,1.76,,1.73,,,1.76,,,1.76,,,,,1.76,,1.76,1.76,,,1.76,1.76,1.76,,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,,,,1.76,,,1.76,,,1.76,1.76,1.76,1.76
Lechuga *,1 Kilogramos,2.75,3.10,4.45,4.45,3.10,3.29,2.95,2.95,,2.89,2.89,2.95,2.95,2.95,3.57,3.57,3.70,2.95,2.95,3.10,3.29,2.64,3.70,2.95,2.95,2.60,,3.10,3.10,2.95,2.95,2.95,2.93,3.27,3.57,,2.89,2.65,3.75,3.10,,3.25,3.29,,3.10,2.95,2.49,,3.73,3.50,3.73,3.86,,4.30,,3.31,3.31,,3.31,3.31,2.76,3.31,3.31,,3.31,,3.31,2.76,,2.20,2.20,,3.31,,3.31,3.31,2.76,3.31,,,,,,5.51,4.41,,6.06,2.18,2.18,2.75
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.85,0.85,0.85,,0.88,0.85,0.85,0.85,,0.73,0.73,0.88,0.85,,0.88,0.85,,0.88,0.85,,0.75,,0.88,0.88,0.85,,,0.86,0.83,0.73,0.88,0.88,0.85,0.68,0.88,0.85,0.88,0.85,0.88,0.88,0.85,0.85,,0.83,0.84,0.83,,,0.88,,,,,,,,0.88,0.88,,,0.88,0.88,0.88,,0.88,,,0.88,,0.88,0.88,,0.88,,,,,,0.88,,0.88,0.88,0.88,0.88,0.88
Papa Nacional *,1 Kilogramos,1.54,1.52,1.54,1.54,1.52,1.54,1.54,1.54,1.50,1.54,1.54,1.54,1.54,1.54,1.26,1.26,1.54,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.54,1.52,1.54,1.52,1.52,1.54,,1.54,1.50,1.50,1.50,1.54,1.54,1.54,1.52,1.52,1.54,,1.54,1.54,1.52,1.54,1.45,1.54,1.50,1.47,,1.54,1.54,1.54,1.32,1.54,1.54,1.54,1.54,1.54,1.32,1.32,1.54,,1.54,1.54,1.54,1.54,,1.32,1.32,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,,,1.54,1.54,1.32,1.54,1.14,1.14,1.54
Pl†tano Verde *,1 Unidades,,,,,,,,,,,,,,,,0.24,,,0.22,,,0.28,0.25,0.22,0.22,,0.24,,,,,,,,,,,,,,,0.22,0.24,0.24,0.25,0.22,0.22,0.27,,0.20,0.21,0.50,0.25,0.40,0.35,0.40,0.35,0.35,0.50,0.25,,0.25,0.35,0.35,0.45,0.35,0.45,0.40,,0.30,0.35,0.35,0.40,0.35,0.40,0.35,0.35,0.35,,,0.35,,0.35,0.40,0.40,,0.40,,,
Repollo Verde *,1 Kilogramos,1.83,1.42,3.08,3.08,1.42,2.19,2.19,2.19,2.50,2.19,2.35,2.19,2.19,2.19,2.63,2.56,1.42,2.19,2.19,1.42,2.19,2.17,1.42,2.19,2.19,1.89,,1.42,1.42,2.19,2.19,2.19,2.00,2.47,1.87,2.35,2.35,2.19,2.49,1.42,2.19,2.29,2.35,2.35,1.42,1.99,,2.19,2.59,2.77,2.59,2.76,,2.76,2.76,1.76,2.20,,2.20,2.20,2.76,2.20,2.20,,2.20,,2.20,2.20,,1.76,1.32,2.20,2.65,,3.31,2.76,1.65,2.20,,,,,,2.76,2.76,,2.76,1.52,1.52,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.71,2.58,2.55,2.55,2.71,2.71,2.71,2.24,2.33,2.71,2.71,2.71,2.69,2.71,2.71,2.69,2.71,2.71,2.53,2.56,2.69,2.69,2.71,2.71,2.65,2.57,2.60,2.54,2.71,2.55,2.71,,2.69,2.59,2.61,2.71,2.71,2.69,2.59,2.71,2.71,2.57,2.52,2.57,2.71,2.76,2.71,2.71,2.65,2.71,,2.71,2.71,2.65,2.71,2.65,,2.71,2.71,2.71,2.54,,2.20,2.20,,,2.00,2.71,2.71,2.54,2.71,,,2.71,,2.20,2.71,2.71,,2.71,1.96,1.96,1.65
Yuca *,1 Kilogramos,0.84,,,,,,,,0.82,,,,,,,0.58,0.66,,,0.66,,,0.66,,,0.62,,0.66,0.66,,,,0.64,0.60,,,,,0.62,0.66,,0.69,,,0.66,,,,0.60,0.60,,,,,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,0.84,,0.64,0.64,0.83
Zanahoria *,1 Kilogramos,1.67,1.67,2.45,2.45,1.67,1.89,1.89,1.89,1.65,1.35,1.35,1.89,1.89,1.89,2.23,1.47,3.35,1.89,1.89,1.67,1.89,1.60,,1.89,1.89,1.19,1.65,,1.67,1.89,1.89,,1.65,1.21,1.17,1.65,1.35,1.89,1.23,1.67,1.89,1.46,,1.65,1.67,1.65,1.89,1.89,1.34,1.33,1.34,2.76,,2.09,2.76,1.76,2.20,,2.20,2.20,2.76,2.20,1.65,,2.20,2.20,2.20,2.20,,,1.65,2.20,1.54,1.65,2.76,2.20,,2.20,,,2.20,,,2.76,3.31,,2.20,1.08,1.36,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,3.06,3.00,3.00,2.98,2.54,2.54,2.62,3.02,2.36,2.36,2.54,2.54,2.54,2.14,2.80,2.98,2.84,2.54,3.06,2.54,2.89,,3.06,2.54,2.18,2.36,2.98,2.98,2.62,2.54,2.54,2.05,1.81,2.80,2.36,2.36,2.54,2.91,2.98,3.09,2.18,2.84,2.36,2.98,2.84,2.54,2.54,2.07,2.67,2.76,,,3.86,,,2.98,,,,,,,,3.31,,,,,3.09,,,,,3.42,,3.31,,,2.87,,2.76,,2.98,,,3.20,2.87,2.62,2.20
Lentejas *,1 Kilogramos,1.79,1.50,1.79,1.65,1.43,1.43,1.65,1.65,1.87,1.43,1.30,1.43,1.43,1.43,,1.23,1.43,1.43,1.43,1.50,1.65,1.79,1.50,1.43,1.54,1.96,1.30,1.43,1.43,1.43,1.43,1.43,1.48,1.57,1.26,1.30,1.43,1.65,1.96,1.43,1.43,1.96,1.30,1.30,1.43,1.43,1.43,1.43,1.26,,1.68,,2.43,2.54,2.76,2.20,2.20,2.09,2.20,1.87,2.54,2.20,2.20,,2.54,2.76,1.65,,1.87,1.61,1.87,2.20,1.87,1.87,2.20,2.09,2.09,2.20,,1.87,1.65,2.09,2.09,1.87,2.20,1.87,1.87,1.39,1.65,1.87
Porotos Rojos *,1 Kilogramos,2.69,2.65,2.78,2.78,2.54,2.62,2.76,2.76,2.69,2.54,2.76,2.76,2.62,2.62,2.05,2.89,2.54,3.06,2.76,2.65,2.62,2.69,2.65,3.06,2.98,2.84,2.54,2.54,2.54,2.62,2.76,3.06,2.07,2.12,3.04,2.76,2.76,2.62,2.62,2.54,2.76,2.84,2.76,2.76,2.54,2.62,2.62,2.98,2.49,2.62,3.04,3.31,,3.64,,3.31,2.76,3.31,2.98,2.87,3.20,3.20,3.31,,3.31,3.20,2.98,,2.65,2.98,,2.76,3.20,2.76,2.76,2.98,3.20,3.31,,3.20,3.31,2.76,3.31,2.98,3.42,3.20,3.20,2.87,2.54,2.54
Guineos *,1 Kilogramos,1.01,0.99,1.15,1.15,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.82,0.97,0.95,0.99,0.99,0.99,0.98,1.01,0.99,0.99,0.99,0.94,0.95,0.99,0.95,0.99,0.99,0.99,0.93,0.97,0.92,0.98,0.95,,0.99,0.95,0.99,0.95,0.96,0.96,0.95,0.99,,0.99,0.92,0.90,0.93,1.21,1.10,1.21,1.32,1.10,1.10,1.10,1.10,1.10,,1.10,,,1.10,1.10,1.10,,,,,,1.10,1.10,1.10,1.10,1.10,1.10,,,,,,1.10,1.10,1.10,,0.86,0.86,0.99
Manzana Roja Mediana *,1 Unidades,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,0.35,,,,,,,,,,0.60,0.50,0.50,0.65,0.50,0.50,,0.60,0.50,,0.50,0.50,,0.50,0.60,0.50,,0.50,,,,,0.50,0.50,0.50,0.50,0.60,,,0.50,,,,0.50,,0.50,,,
