Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.73,0.55,0.76,0.76,0.69,0.42,0.45,0.44,0.67,0.39,0.39,0.45,0.45,0.45,0.49,0.48,0.65,0.42,0.42,0.55,0.42,0.76,0.69,0.39,0.42,0.43,0.55,0.69,0.64,0.45,0.45,0.42,0.40,0.41,0.40,0.39,0.55,0.79,0.43,0.65,0.39,0.43,0.39,0.65,0.65,0.39,0.45,0.42,0.48,0.48,0.48,0.85,0.80,0.95,0.85,0.85,0.60,0.95,,0.85,0.85,0.85,0.55,0.80,0.80,0.55,,0.85,0.85,0.80,0.85,0.75,,0.85,0.65,0.75,0.50,,0.65,0.85,0.75,0.50,0.85,0.55,,0.55,0.55,0.45,0.45,0.55
Tuna en Agua *,142 Gramos,1.56,1.65,1.51,1.51,1.70,1.25,1.49,1.49,1.47,1.69,1.59,1.15,1.15,1.15,1.13,1.03,1.50,1.49,1.25,1.70,1.30,1.56,,1.49,1.25,1.56,1.35,1.70,1.65,1.15,1.15,1.15,1.13,1.14,1.14,1.57,1.35,1.15,1.56,1.50,1.49,1.14,,1.09,,1.20,1.20,1.20,1.07,1.30,1.07,1.75,,1.85,1.85,1.65,,1.85,1.65,,,,,,,,,,,,,,,1.75,1.55,1.65,1.65,,1.35,,,1.65,,1.50,,,1.65,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.72,8.71,,8.20,7.91,7.91,7.91,7.91,7.87,8.27,,7.91,7.69,5.49,8.25,8.25,,7.91,7.91,8.86,7.91,7.72,8.84,7.91,7.91,5.34,8.27,,8.53,5.49,5.49,5.49,,7.72,8.25,8.27,8.27,5.49,7.76,8.67,7.91,7.76,,10.03,9.63,,9.90,10.78,8.25,,8.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.40,8.40,,,,,,8.38,8.38,8.36,8.36,8.36,8.33,8.33,,,,,,,,,,8.09,8.38,,,8.36,4.96,8.36,8.31,8.07,8.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.40,7.67,7.67,4.45,3.42,,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,4.39,3.42,3.42,4.54,3.40,3.42,3.42,3.42,3.42,4.19,3.33,3.42,3.42,3.42,3.42,3.37,3.42,3.42,3.42,7.61,7.61,3.33,4.17,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,4.10,3.42,,,8.49,,,,,7.72,,,,7.39,,,,,,,,,,,,4.42,7.17,,8.05,,,,,,7.72,7.39,,7.61,3.42,3.42,
Arroz de Primera *,1 Kilogramos,0.88,,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.87,0.87,0.88,0.88,0.88,0.86,0.80,0.88,0.86,0.88,,0.88,0.88,,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.87,0.87,0.88,0.88,0.88,0.88,0.88,0.86,0.87,0.88,0.88,0.88,0.88,0.86,0.86,0.86,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.86,0.88,0.88
Codito *,454 Gramos,0.89,0.63,0.92,0.58,0.60,0.69,0.69,0.69,0.76,0.93,0.92,0.79,0.69,0.69,0.57,0.67,0.60,0.69,0.69,0.63,0.69,0.91,0.63,0.69,,0.55,0.79,0.60,0.60,0.69,0.69,0.79,0.67,0.57,0.67,0.70,0.70,0.69,0.54,0.60,0.69,,0.85,0.96,0.80,0.69,0.69,0.63,0.67,0.76,0.63,1.00,1.00,1.15,1.00,0.95,0.95,0.95,0.95,0.90,0.85,0.85,0.85,1.00,0.85,0.90,0.85,0.85,0.85,1.00,0.85,1.00,,1.00,0.85,1.00,0.95,1.00,,0.85,0.90,0.80,0.95,0.85,0.85,0.85,0.85,0.72,0.65,0.95
Crema  de Ma°z *,300 Gramos,,0.79,0.63,0.63,0.65,0.65,0.65,0.65,0.68,0.59,0.59,0.60,0.60,0.60,0.57,0.57,0.60,0.60,0.60,0.79,0.60,,0.70,0.60,0.71,0.60,0.59,0.79,0.79,0.60,0.60,0.60,0.64,0.58,0.55,0.59,0.59,0.60,0.69,0.79,0.65,0.60,0.59,0.57,0.79,0.65,0.55,0.70,0.57,,0.57,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90,0.75,,,0.85,0.61,0.85
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,2.05,2.50,3.13,1.95,1.79,1.79,1.69,2.18,2.18,2.16,1.79,1.79,1.69,1.98,1.98,,1.79,1.79,2.05,1.39,2.25,2.05,1.79,1.69,2.29,2.18,1.95,1.95,1.79,1.69,1.79,1.98,1.75,1.75,1.85,1.85,1.69,2.99,2.80,3.05,2.99,2.96,3.96,2.80,3.05,3.05,2.96,2.96,2.90,2.45,3.75,,,,2.50,2.50,,3.00,2.65,,,,,,,2.50,,,,,,2.25,,,,,,,,,,,3.95,3.95,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.91,0.63,0.58,0.58,0.60,0.63,0.63,0.63,0.60,0.65,0.65,0.63,0.63,0.63,0.57,0.57,0.60,0.63,0.63,0.64,0.69,0.86,0.63,0.63,0.69,0.54,0.65,0.60,0.60,0.63,0.63,0.63,0.61,0.57,0.53,0.75,0.65,0.63,0.52,0.60,0.63,,,,0.90,0.63,0.63,0.63,,0.53,0.61,,0.70,,1.00,0.85,0.95,0.85,0.85,0.80,0.80,0.85,0.85,0.85,0.85,0.90,0.85,0.75,0.85,,0.85,0.85,0.85,0.90,0.85,0.85,,0.80,,0.75,0.59,0.85,0.85,0.85,0.85,0.85,0.85,,,
Pan de Michita *,1 Kilogramos,,2.65,,,,,,,,,,,2.45,2.45,3.00,3.00,,,,,,,,,,,,2.65,2.65,,2.49,,,2.25,2.98,,,2.45,2.25,,2.45,,,,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.91,0.92,0.92,0.92,0.92,0.87,0.88,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,,0.91,0.92,0.92,0.92,0.92,0.92,0.90,0.87,0.90,0.91,0.92,0.92,0.91,0.92,,0.92,0.92,,0.92,,0.92,0.87,,,0.87,,,,,,0.92,,,,,,,,,,0.92,,,,,,,,,,,,,0.92,0.92,,,,,,,,0.92,0.92
Tortilla de Ma°z *,10 Unidades,1.10,0.75,1.45,1.45,1.17,1.05,1.05,1.05,0.75,0.75,0.79,0.75,1.05,0.75,0.75,0.95,1.13,1.05,1.05,1.17,1.05,1.10,1.17,1.05,1.05,0.79,0.75,0.75,0.75,0.75,0.75,0.75,0.73,0.95,0.75,0.75,1.15,0.75,0.79,1.19,1.05,1.02,,0.99,1.15,1.05,1.05,1.05,,,0.81,1.15,1.00,1.25,1.50,1.25,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.15,1.00,1.10,1.00,1.00,,1.00,1.00,1.15,1.00,,1.00,1.00,,1.00,,1.00,1.00,1.00,1.00,1.00,1.00,,0.85,1.05,0.85,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,2.35,2.39,3.95,3.95,2.35,2.49,2.49,2.49,2.20,2.19,2.19,2.49,2.49,2.49,2.17,1.28,2.39,2.49,2.49,2.36,2.49,2.42,2.39,2.49,2.49,2.89,2.19,2.36,2.36,2.49,2.49,2.49,2.34,1.27,1.27,2.19,2.19,2.49,1.32,2.29,2.49,1.32,,1.75,2.36,2.49,,2.19,1.47,1.91,2.17,2.76,,3.31,,,3.31,,,,,,,,,3.31,3.31,,,,,,,2.20,2.76,2.20,2.20,3.76,,,2.20,,,3.86,3.31,,3.31,,,1.65
Ajo *,1 Kilogramos,,,4.50,4.50,,,,,,2.45,2.99,,4.19,,,,4.55,,,,,4.52,4.52,,,,2.99,4.55,4.55,4.19,4.19,,4.27,,,2.99,2.99,,,,,1.75,2.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.41,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,1.76,1.76,1.75,1.54,1.76,1.76,1.73,1.76,1.74,1.76,1.76,1.76,1.76,1.74,1.75,1.76,1.76,1.75,1.76,1.76,1.75,1.76,1.76,1.73,1.74,1.75,1.75,1.76,1.76,1.76,1.74,1.76,1.76,1.74,1.74,1.76,1.74,1.74,1.76,1.73,1.74,1.76,1.75,1.76,,1.76,,,1.71,1.76,1.76,1.76,1.76,1.76,1.76,,1.76,1.54,1.76,1.76,1.76,,1.76,1.76,1.76,,,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,,1.76,,,1.76,1.76,1.76,1.76,1.72,1.58,1.76
Lechuga *,1 Kilogramos,2.93,3.10,4.45,4.45,3.10,,3.89,3.89,4.50,3.39,3.39,3.89,3.89,3.89,4.41,4.43,3.10,3.89,3.89,3.18,,2.93,3.20,3.89,3.89,3.35,3.39,3.10,3.10,3.89,3.89,4.15,2.63,4.13,2.63,2.85,2.85,3.89,3.35,3.10,,,,2.19,,3.89,3.89,3.89,3.63,2.87,3.63,4.08,2.20,4.30,3.31,2.76,3.31,,3.31,3.31,2.76,2.76,3.31,,3.31,2.76,3.31,2.76,,2.20,2.20,,3.31,3.31,3.31,2.76,2.20,4.41,,,3.31,,,5.51,4.41,,6.06,2.62,2.62,2.75
•ame Diamante *,1 Kilogramos,,0.88,,0.88,0.88,0.85,,0.85,0.83,,0.75,0.85,0.85,0.85,0.69,0.88,0.88,0.85,,0.88,0.85,,0.88,0.85,,,0.75,0.88,0.88,0.85,,,0.86,0.75,0.80,0.75,0.75,0.85,0.75,0.88,0.84,0.75,,,0.88,,0.85,0.85,0.73,0.81,0.83,,,0.88,,,,,,,,,0.88,,0.88,,,,,0.88,,,0.88,0.88,0.88,0.88,,0.88,,,,,,0.88,,,0.88,0.62,0.62,0.88
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.53,1.54,1.54,1.54,1.54,1.54,1.19,1.52,1.54,1.54,1.54,1.52,1.54,,1.54,1.54,1.54,1.44,1.54,1.52,1.52,1.54,1.54,1.54,1.50,1.42,1.17,1.54,1.54,1.54,1.43,1.52,1.54,1.44,1.54,1.54,1.52,,1.54,1.54,1.52,1.52,1.45,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.32,1.54,,1.54,1.32,1.54,1.54,,1.32,1.32,1.54,1.54,1.54,1.54,1.54,1.54,1.54,,,1.54,,1.54,1.54,1.54,1.43,1.54,1.32,1.54,1.54
Pl†tano Verde *,1 Unidades,,,,,0.25,0.23,0.27,,0.24,,,,,,,,0.25,0.23,0.23,0.25,0.23,0.28,0.25,0.27,0.23,,,,,,,,,,,,,,0.21,0.25,0.23,,,0.22,0.25,0.27,0.23,0.23,0.21,0.21,0.21,0.50,0.25,0.45,0.35,0.35,0.35,0.40,0.35,0.35,0.35,0.35,0.25,,0.45,0.45,0.35,0.40,,0.35,0.35,0.40,0.35,0.35,0.35,0.35,0.35,0.40,,,0.25,,0.20,0.45,0.40,0.25,0.35,,,
Repollo Verde *,1 Kilogramos,2.13,1.78,3.08,3.08,1.43,2.85,2.85,2.85,1.41,2.49,2.49,2.85,2.85,2.85,2.47,,1.43,2.85,2.85,1.43,2.85,,1.43,2.85,2.85,1.81,2.49,1.78,1.43,2.85,2.29,2.85,2.49,2.83,1.79,2.49,2.49,2.85,,1.43,2.85,1.81,,,1.43,,2.85,2.85,2.53,2.77,1.41,2.76,,1.45,2.76,1.76,2.20,,2.76,2.20,2.20,2.20,2.20,,2.18,1.76,2.20,2.20,,1.76,1.65,2.20,2.20,1.65,3.31,2.20,,2.20,,,2.09,,,2.76,2.76,1.43,2.76,2.18,1.96,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,,2.71,2.71,2.71,2.71,2.71,2.71,2.71,1.42,2.71,2.71,2.71,2.71,2.71,2.51,2.69,2.71,2.71,2.71,2.68,2.71,2.71,2.69,2.71,2.71,2.71,2.71,2.69,2.69,2.71,2.71,2.71,2.67,2.69,2.62,2.71,2.71,2.71,2.71,2.69,2.71,2.63,2.71,2.71,2.69,2.71,2.71,2.71,2.61,,2.61,2.71,2.76,,2.71,2.71,2.71,,2.71,2.71,2.20,2.71,2.71,,2.54,2.71,2.71,2.71,,2.20,1.76,,2.20,,2.71,2.65,2.20,2.71,,,2.20,,1.65,2.71,2.71,2.20,2.71,2.18,1.72,1.65
Yuca *,1 Kilogramos,0.84,0.66,,,0.66,,,,,,,,,,0.58,0.56,0.66,,,0.66,,0.84,0.66,,,0.60,,0.66,0.66,,,,0.64,,0.60,,,,0.60,0.66,,,,,0.66,,,,0.58,0.61,,,,0.84,,,,,,,,,,,,,,,,,,,,,,,0.77,,,,,,,,,0.84,0.62,0.64,0.84,0.83
Zanahoria *,1 Kilogramos,1.56,1.67,2.45,2.45,1.67,,1.89,1.89,1.65,1.65,1.65,1.89,1.89,1.89,1.63,1.63,1.67,1.89,1.45,1.67,1.89,1.45,1.67,1.89,1.87,1.23,1.65,1.67,1.67,1.89,1.99,1.89,1.65,1.21,1.21,1.65,1.65,1.89,1.23,1.68,1.89,1.23,1.65,1.65,1.67,1.89,1.89,1.89,,,1.71,2.76,1.87,2.09,2.76,1.76,2.20,,2.20,2.20,2.20,2.20,1.65,,1.98,1.76,2.20,2.20,,1.98,1.65,,2.20,1.65,2.76,2.20,1.65,2.20,,,2.09,,,2.76,3.31,1.65,2.20,1.52,1.52,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,3.06,3.00,3.00,2.98,2.54,2.54,3.09,2.18,2.40,2.40,2.62,2.54,2.54,2.27,2.65,,2.54,2.84,3.06,2.54,2.93,,2.54,2.54,2.18,2.36,2.98,,2.84,2.62,2.98,2.31,2.07,2.14,2.40,2.36,2.62,2.18,2.98,2.84,2.18,2.36,2.36,2.98,2.54,2.62,2.84,2.31,2.31,2.07,,,3.86,,,3.31,,,,,,3.31,,3.31,,,,,3.09,,,,,2.98,2.76,,,,,,2.76,,3.31,,,,3.20,2.87,3.20
Lentejas *,1 Kilogramos,1.79,1.50,1.65,1.65,1.43,1.43,1.43,1.43,1.34,1.43,1.30,1.54,1.43,1.43,1.48,1.39,1.32,1.43,1.43,1.50,1.43,1.81,1.50,1.43,1.43,1.43,1.30,1.43,1.32,1.48,1.43,1.43,1.57,1.39,1.26,1.30,1.30,1.43,1.61,1.32,1.43,1.43,1.08,1.30,1.32,1.90,1.43,1.65,1.26,1.01,1.26,1.87,1.87,2.20,2.76,2.20,1.87,,1.87,1.87,1.87,1.87,1.87,,1.87,2.76,1.65,2.20,1.76,,1.87,2.20,1.87,1.87,1.87,1.61,1.61,1.87,,1.65,1.65,1.65,1.85,1.87,1.87,1.87,1.61,1.39,1.43,1.87
Porotos Rojos *,1 Kilogramos,2.69,2.65,2.78,2.78,2.98,2.76,3.06,2.98,1.85,2.09,2.76,2.76,2.76,2.98,2.54,2.65,2.76,2.98,2.76,2.87,2.98,2.69,2.54,2.98,2.98,2.62,2.09,2.54,2.54,2.98,2.76,2.84,2.07,2.12,2.12,2.76,2.76,2.98,2.80,2.54,2.76,2.76,2.76,2.76,2.54,2.76,2.98,2.76,2.49,2.01,2.45,3.31,3.31,3.64,,2.76,3.20,2.09,,,3.20,2.98,2.76,,3.31,3.20,2.98,2.76,2.76,2.76,2.76,2.98,3.20,3.31,3.20,2.87,3.20,3.31,,2.98,3.31,2.98,3.20,3.31,3.42,2.98,2.76,2.62,2.98,2.98
Guineos *,1 Kilogramos,1.01,0.99,1.15,1.15,0.99,0.99,0.99,0.99,,0.99,0.99,0.99,0.99,0.99,,,0.99,0.99,0.99,0.99,0.90,1.01,0.99,0.99,0.99,0.94,0.95,0.99,0.95,0.99,0.99,0.99,,0.97,0.91,0.98,0.95,,0.99,,0.99,0.94,,0.96,0.95,1.05,,0.99,0.92,0.90,0.92,1.21,,1.21,,1.10,1.10,,1.10,1.10,,1.10,,,1.10,1.10,1.10,,,,,1.10,1.10,1.10,1.10,1.10,1.10,1.10,,1.10,,,0.99,1.10,1.10,1.10,1.10,0.99,,0.77
