Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MGTO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABT. LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABT. BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.75,0.76,0.76,0.54,0.52,0.39,0.45,0.50,0.55,0.55,0.45,0.45,0.45,0.48,0.48,0.65,0.42,0.42,0.55,0.42,0.68,0.69,0.42,0.45,0.41,0.55,0.70,0.54,0.45,0.45,0.45,0.40,0.48,0.40,0.65,0.70,0.42,0.41,0.54,0.45,0.88,0.55,0.55,0.54,0.42,0.42,0.42,0.41,0.47,0.41,0.85,0.90,0.95,0.85,0.85,0.65,0.95,0.85,0.85,0.75,0.85,0.75,0.80,0.80,0.75,0.85,0.75,0.80,0.80,0.85,0.75,0.85,0.00,0.65,0.55,0.50,0.80,0.75,0.85,0.65,0.75,0.85,0.55,0.80,0.55,0.55,0.50,0.59,0.55
Tuna en Agua *,142 Gramos,0.00,1.66,1.70,1.70,1.65,1.15,1.15,1.15,1.03,1.63,1.35,1.15,1.15,1.15,1.33,1.13,0.00,1.09,1.30,0.00,1.25,1.56,0.00,1.49,1.15,1.56,1.55,1.50,1.65,1.15,1.15,1.15,0.00,1.14,1.14,1.35,1.25,1.25,1.56,1.50,1.49,1.14,1.09,1.09,1.10,1.20,1.20,1.30,1.07,1.30,1.07,0.00,0.00,0.00,0.00,1.50,1.65,1.85,1.65,1.65,1.60,1.55,0.00,1.65,1.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.65,0.00,0.00,1.65,1.55,0.00,1.40,0.00,0.00,0.00,0.00,0.00,1.65,0.00,1.65,1.15,1.09,0.00
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,5.71,8.80,0.00,0.00,8.86,4.96,4.96,7.91,7.87,8.27,8.27,5.49,5.49,5.49,8.25,8.25,8.62,7.91,7.91,8.80,0.00,7.72,8.80,7.91,4.96,5.34,8.27,8.91,8.69,5.49,5.49,5.49,8.25,7.72,8.25,8.27,8.27,7.91,7.76,8.31,7.91,7.76,0.00,8.27,8.31,7.91,7.91,7.91,0.00,0.00,0.00,0.00,0.00,9.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9.02,0.00
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,0.00,0.00,0.00,0.00,0.00,8.36,8.36,8.36,0.00,8.62,8.62,7.17,8.36,4.96,8.07,8.07,0.00,0.00,4.96,0.00,0.00,0.00,0.00,4.96,0.00,8.31,8.62,0.00,0.00,4.96,8.36,4.96,8.07,8.07,8.05,0.00,0.00,4.96,8.31,0.00,0.00,6.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,4.61,3.42,7.83,7.83,3.42,3.45,7.61,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.35,3.42,4.19,3.42,4.19,4.54,3.42,3.42,3.42,3.42,3.42,3.42,3.35,7.61,7.61,3.42,3.42,3.37,7.56,3.42,3.42,3.42,7.78,3.35,7.61,3.42,3.42,3.42,4.19,3.42,3.42,3.42,3.42,3.35,3.42,4.96,0.00,4.74,0.00,7.17,0.00,0.00,0.00,4.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.72,7.83,6.28,0.00,0.00,0.00,8.05,0.00,0.00,0.00,0.00,0.00,0.00,7.39,0.00,7.61,3.42,3.42,4.63
Arroz de Primera *,1 Kilogramos,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.88,0.88,0.88,0.87,0.86,0.86,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.85,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.88,0.88,0.88,0.88,0.86,0.86,0.86,0.00,0.00,0.88,0.00,0.88,0.88,0.88,0.88,0.00,0.00,0.00,0.88,0.00,0.00,0.88,0.88,0.88,0.88,0.00,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88
Codito *,454 Gramos,0.96,0.85,0.96,0.96,0.60,0.79,0.79,0.79,0.57,0.88,0.87,0.79,0.79,0.79,0.57,0.69,0.60,0.79,0.79,0.63,0.79,0.00,0.63,0.79,0.79,0.55,0.88,0.85,0.60,0.79,0.79,0.79,0.57,0.52,0.53,0.75,0.75,0.79,0.75,0.60,0.79,0.60,0.85,0.96,0.80,0.79,0.79,0.79,0.77,0.76,0.77,1.00,0.00,0.95,1.00,0.00,0.95,0.95,0.95,0.90,0.85,0.85,0.85,0.00,0.95,0.90,0.90,0.00,0.85,0.85,0.85,1.00,0.90,0.90,0.85,1.00,0.95,1.00,0.75,0.85,0.90,0.80,0.95,0.85,0.85,0.00,0.85,0.72,0.65,0.95
Crema  de Ma°z *,300 Gramos,0.00,0.65,0.63,0.63,0.79,0.60,0.65,0.60,0.64,0.59,0.65,0.60,0.60,0.60,0.57,0.57,0.65,0.60,0.65,0.79,0.65,0.70,0.00,0.60,0.60,0.59,0.59,0.65,0.79,0.60,0.60,0.60,0.64,0.57,0.58,0.59,0.59,0.65,0.59,0.79,0.65,0.00,0.59,0.59,0.79,0.65,0.65,0.65,0.57,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.75,1.15,1.25,0.70,0.61,0.00
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,2.25,2.05,2.65,2.65,1.65,1.69,1.79,1.69,1.98,1.67,1.65,1.79,1.79,1.69,1.98,1.98,2.29,1.89,1.99,2.05,1.99,2.44,1.65,1.69,1.69,2.45,1.65,1.95,1.95,1.69,1.69,1.69,1.98,1.98,1.98,1.67,1.67,2.09,2.99,2.80,3.05,0.00,2.46,2.46,2.80,3.05,3.05,3.05,2.97,2.46,2.78,3.75,0.00,2.25,2.95,0.00,0.00,0.00,0.00,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.45,0.00,2.35,2.45,0.00,0.00,0.00,0.00,0.00,0.00,3.95,0.00,0.00,0.00,0.00,0.00
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.87,0.95,0.58,0.58,0.90,0.63,0.63,0.63,0.57,0.65,0.65,0.63,0.63,0.63,0.57,0.57,0.85,0.63,0.63,0.85,0.00,0.85,0.63,0.63,0.63,0.55,0.88,0.80,0.90,0.63,0.63,0.63,0.57,0.57,0.50,0.89,0.89,0.63,0.56,0.85,0.63,0.00,0.00,0.00,0.90,0.63,0.63,0.63,0.61,0.56,0.61,1.00,0.70,1.15,1.00,0.85,0.75,0.00,0.85,0.90,0.85,0.85,0.00,0.00,0.00,0.90,0.85,0.00,0.85,0.85,0.85,0.85,0.85,0.59,0.85,0.85,0.75,0.00,0.00,0.75,0.59,0.70,0.90,0.85,0.85,0.85,0.85,0.00,0.00,0.00
Pan de Michita *,1 Kilogramos,0.00,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.00,0.00,0.00,2.45,0.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.78,0.00,0.00,0.00,0.00,0.00,2.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.65,3.50,0.00,0.00,0.00,2.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pan Molde *,500 Gramos,0.00,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.90,0.92,0.91,0.92,0.92,0.92,0.87,0.88,0.92,0.92,0.00,0.92,0.00,0.92,0.00,0.92,0.92,0.92,0.91,0.92,0.00,0.92,0.92,0.92,0.90,0.90,0.90,0.91,0.91,0.92,0.92,0.00,0.00,0.92,0.92,0.92,0.92,0.00,0.00,0.00,0.90,0.85,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.92,0.00,0.00,0.00,0.00,0.92,0.00,0.92,0.92,0.92
Tortilla de Ma°z *,10 Unidades,1.10,1.15,1.45,1.45,1.19,0.75,1.05,1.05,0.89,0.75,0.00,0.75,1.05,0.75,0.75,0.75,0.90,1.05,1.05,0.00,0.75,1.10,1.15,1.05,0.75,0.89,1.15,0.75,0.75,1.05,0.75,0.75,0.73,0.73,0.87,0.99,0.99,0.00,0.79,0.75,1.05,0.79,0.75,1.45,0.75,0.79,1.05,1.05,0.97,0.95,0.73,1.15,1.00,1.25,0.00,1.00,1.00,1.00,1.00,1.25,1.25,1.00,1.00,0.00,1.00,1.10,1.00,1.00,0.00,1.00,1.00,1.15,1.00,1.00,1.00,1.10,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.85,0.95,0.99,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,3.27,2.39,3.95,3.95,2.35,1.99,2.49,2.49,2.20,2.19,2.19,2.49,2.49,2.49,1.66,1.66,2.39,2.49,2.49,2.38,2.49,0.00,2.39,2.79,2.49,1.32,2.19,2.36,2.36,2.49,1.99,2.49,2.44,1.32,1.30,2.19,2.19,2.49,1.34,2.29,2.49,1.48,2.19,2.49,2.36,1.99,2.49,2.49,0.00,2.53,2.47,0.00,0.00,0.00,0.00,2.76,3.31,0.00,3.31,0.00,2.20,0.00,0.00,0.00,0.00,0.00,3.31,0.00,0.00,0.00,0.00,0.00,3.31,2.20,2.76,2.20,2.20,3.31,0.00,0.00,0.00,0.00,0.00,3.86,3.31,2.20,3.31,3.31,0.00,0.00
Ajo *,1 Kilogramos,4.44,3.64,4.50,4.50,4.55,2.68,0.00,0.00,2.66,0.00,3.70,2.68,4.19,2.68,3.68,2.66,4.55,0.00,0.00,4.55,0.00,3.00,4.52,2.68,2.68,0.00,3.49,4.55,4.55,4.19,2.68,2.68,2.66,2.66,3.47,3.49,3.49,2.68,3.86,4.54,2.67,1.98,2.67,2.67,4.55,2.68,2.68,2.68,0.00,4.43,3.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.79,1.59,0.00
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,1.76,1.76,1.75,1.67,1.76,1.76,1.65,1.76,1.76,1.76,1.76,1.76,1.72,1.72,1.75,1.76,1.76,1.75,1.76,1.76,1.75,1.76,1.76,1.73,1.76,1.75,1.75,1.76,1.76,1.76,0.00,1.76,1.71,1.76,1.76,1.76,1.74,1.74,1.76,1.75,1.76,1.76,1.75,0.00,1.76,1.76,1.73,1.65,1.73,1.76,1.76,1.76,1.76,1.76,0.00,0.00,1.76,1.76,1.76,1.76,1.76,0.00,0.00,0.00,1.76,1.76,0.00,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,0.00,0.00,1.76,0.00,1.76,1.76,1.76,1.76,1.76,1.72,1.58,1.76
Lechuga *,1 Kilogramos,2.93,3.10,4.45,4.45,3.10,2.75,2.75,2.49,4.13,1.75,0.00,2.49,2.49,2.49,4.41,4.43,3.70,2.49,2.49,3.10,0.00,2.93,3.10,0.00,2.49,2.15,2.15,3.10,3.10,3.25,2.49,2.75,3.85,4.13,3.85,1.75,1.75,2.75,2.16,3.09,2.49,4.50,2.15,1.75,3.10,3.89,2.49,3.89,2.96,2.87,2.96,3.31,0.00,3.86,2.76,2.76,3.31,0.00,2.76,3.31,2.20,3.31,3.31,0.00,0.00,0.00,3.31,2.76,0.00,0.00,2.20,4.41,3.31,2.20,0.00,3.31,2.20,3.31,0.00,0.00,3.31,0.00,0.00,5.51,4.41,0.00,6.06,2.18,2.18,2.75
•ame Diamante *,1 Kilogramos,0.00,0.00,0.88,0.88,0.88,0.85,0.00,0.85,0.83,0.79,0.79,0.85,0.85,0.85,0.00,0.69,0.88,0.85,0.00,0.88,0.85,0.00,0.88,0.85,0.85,0.77,0.88,0.88,0.88,0.85,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.85,0.75,0.88,0.84,0.75,0.79,0.75,0.88,0.85,0.85,0.85,0.73,0.73,0.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.00,0.00,0.00,0.88,0.00,0.88,0.00,0.00,0.00,0.88,0.00,0.88,0.00,0.88,0.00,0.00,0.00,0.00,0.00,0.88,0.00,0.88,0.88,0.77,0.84,0.88
