Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.60,0.82,0.76,0.69,0.49,0.39,0.39,0.50,0.55,0.55,0.39,0.39,0.39,0.48,0.42,0.70,0.39,0.39,0.60,0.39,0.68,0.69,0.39,0.39,0.43,0.55,0.68,0.65,0.39,0.39,0.39,0.49,0.50,0.39,0.55,0.55,0.39,0.62,0.65,0.45,0.43,0.55,0.38,0.65,0.39,0.39,0.42,0.41,0.45,0.48,0.85,0.90,0.95,0.85,0.85,0.75,0.95,,0.85,0.75,0.55,0.55,0.90,0.80,,0.75,0.75,0.75,0.65,0.85,0.75,0.85,0.85,0.65,0.55,0.50,0.80,0.85,0.65,0.50,0.75,0.49,0.80,0.55,0.75,0.50,0.50,
Tuna en Agua *,142 Gramos,1.56,1.20,1.65,1.65,1.65,1.15,1.15,1.15,1.13,1.27,1.35,1.15,1.15,1.15,1.13,1.18,1.25,1.25,1.20,1.70,1.20,1.56,1.65,1.15,1.15,1.56,1.57,1.25,1.65,1.15,1.15,1.15,1.03,1.51,1.54,1.15,1.15,1.20,1.14,1.25,1.20,,1.59,1.35,,,1.49,1.15,1.33,1.47,1.45,1.75,,1.85,,1.50,,1.85,,1.25,,1.55,1.35,,,,,,,,,,,,1.55,1.65,1.45,1.60,,,1.65,1.50,1.50,1.25,1.65,,1.25,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,,6.50,,,6.50,5.49,5.49,5.49,7.87,8.27,8.27,5.49,5.49,5.49,7.87,7.87,7.89,7.91,7.91,8.27,7.91,7.72,6.50,5.49,7.91,5.95,8.27,5.73,7.89,5.49,5.49,5.49,8.25,7.52,7.72,8.27,8.27,7.91,,,,7.76,8.27,8.27,,7.91,7.91,7.83,7.87,7.78,7.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.83
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,8.40,8.40,,4.96,8.36,4.96,8.31,8.38,8.38,,4.96,,8.33,8.33,,8.36,8.36,,8.36,,5.71,4.96,4.96,4.87,8.38,,,4.96,4.96,4.96,,8.07,8.05,,8.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.16,3.42,7.67,7.67,4.19,3.42,4.19,4.19,3.37,3.42,3.42,3.42,4.19,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,7.17,3.42,3.42,3.42,3.42,3.42,4.19,3.42,3.42,3.42,3.42,4.19,3.31,3.42,3.42,3.42,3.42,3.42,,3.42,3.42,3.13,3.42,4.19,3.42,3.42,3.42,3.42,3.42,3.42,,,6.28,,7.17,,,7.72,,,,,,,,,,,,,,,,4.41,,,,,,,,7.72,7.39,7.72,7.61,3.42,3.42,3.42
Arroz de Primera *,1 Kilogramos,0.88,,0.88,0.88,,0.88,0.88,0.88,0.86,0.88,0.88,0.88,0.88,0.87,0.84,0.87,0.88,0.87,0.87,,0.87,0.88,,0.88,0.88,0.88,0.88,,0.88,0.88,0.87,0.88,0.86,0.86,0.86,0.86,0.86,0.86,0.87,0.88,0.88,0.88,0.85,0.85,0.88,0.88,0.88,0.88,0.85,0.82,0.84,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,
Codito *,454 Gramos,0.89,0.85,0.96,0.96,0.58,0.79,0.79,0.79,0.57,0.58,0.82,0.79,0.79,0.79,0.57,0.69,0.85,0.79,0.79,0.85,0.79,0.85,0.90,0.79,0.79,0.55,0.65,0.85,0.85,0.79,0.79,0.79,0.69,0.77,0.60,0.58,0.58,0.79,0.55,0.85,0.79,0.52,0.96,0.58,0.85,0.79,0.79,0.79,0.77,0.75,0.77,1.00,1.00,0.95,1.00,1.00,0.95,0.95,0.95,0.95,0.85,0.85,0.85,1.00,0.85,0.90,0.85,0.85,1.00,1.00,0.85,1.00,0.90,0.90,0.85,0.85,0.95,1.00,0.85,0.90,0.80,0.85,0.85,0.85,0.90,0.85,0.85,0.59,0.85
Crema  de Ma°z *,300 Gramos,,0.65,0.63,0.63,0.60,0.55,0.55,0.55,0.41,0.60,0.49,0.55,0.55,0.55,0.53,0.41,0.65,0.60,0.60,0.65,0.60,0.90,0.79,0.60,0.55,0.60,0.49,0.60,0.60,0.55,0.60,0.55,0.41,0.41,0.41,0.49,0.49,0.60,0.60,0.60,0.55,0.69,0.70,0.70,0.79,0.71,0.55,0.70,0.47,0.72,0.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,0.75,1.15,1.25,,0.75,0.85
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,1.55,3.13,3.13,1.55,1.79,1.59,1.79,1.98,1.97,1.97,1.99,1.79,1.59,1.98,1.89,1.60,1.79,1.79,1.60,1.79,3.13,1.55,1.79,1.59,2.29,1.89,1.60,1.60,1.79,1.79,1.79,1.89,1.98,1.98,1.95,1.95,1.79,3.05,3.05,3.05,2.29,1.97,1.97,1.60,2.80,3.05,,1.73,2.02,,,,,,,2.50,,,,,,2.85,,,2.75,2.50,,,,,,,,2.45,2.25,2.35,2.45,,,,,3.95,3.95,,,2.29,,3.90
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.85,0.75,0.82,0.85,0.65,0.63,0.65,0.63,0.62,0.58,0.65,0.63,0.63,0.63,0.61,0.61,0.75,0.63,0.63,0.75,0.63,0.83,0.80,0.63,0.63,0.56,0.58,0.75,0.75,0.63,0.63,0.63,0.61,0.61,0.58,0.58,0.58,0.63,0.56,0.75,0.63,0.56,,,0.75,0.63,0.63,0.63,0.54,0.53,0.54,1.00,0.85,,1.00,0.85,0.75,,0.85,0.90,,0.85,0.85,0.85,0.85,0.90,0.59,0.75,0.75,0.75,0.85,0.85,0.85,0.59,0.65,0.85,0.75,0.80,0.75,0.59,0.70,0.90,0.85,0.85,0.85,0.85,,,
Pan de Michita *,1 Kilogramos,,2.65,,,,2.49,2.48,,3.00,,,,2.45,2.45,3.00,,,,,,,,2.75,,2.49,,,2.75,2.75,,2.49,,3.00,3.30,3.00,,,,,2.75,2.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.86,,,,,,
Pan Molde *,500 Gramos,0.92,0.92,0.92,,0.92,0.92,,0.92,0.90,0.92,0.92,0.92,,0.92,0.87,0.89,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,0.92,0.91,0.92,0.92,0.92,0.92,0.92,0.90,0.86,0.90,0.92,0.92,0.92,0.91,0.92,0.92,0.89,,0.92,0.92,,0.92,,0.87,0.88,0.88,,,,,,,,,0.92,,0.92,0.92,0.92,,,0.92,,,,,,,,,0.92,0.92,,0.92,0.92,0.92,0.92,,,0.92,,0.92,0.92,0.92
Tortilla de Ma°z *,10 Unidades,1.10,0.75,1.45,1.45,0.75,1.05,0.75,1.05,0.89,1.05,0.79,0.75,1.05,0.75,0.75,0.94,0.99,1.05,1.05,0.75,1.15,1.10,0.75,1.05,0.97,0.89,0.79,0.75,1.00,1.05,1.05,1.05,0.73,0.75,0.75,0.79,0.79,1.19,0.75,0.75,1.05,1.10,1.15,1.02,0.75,1.05,1.05,1.05,0.94,0.98,0.95,1.15,1.00,1.25,,1.00,1.00,1.00,1.00,1.10,1.00,1.00,1.00,1.10,1.00,1.10,1.00,1.00,1.00,1.00,1.00,1.15,1.00,0.90,1.00,1.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.65,0.95,,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,2.35,2.39,3.80,3.80,2.39,2.19,,2.19,2.15,1.16,,2.19,2.19,2.19,1.28,2.67,2.39,2.19,2.19,2.39,2.35,2.05,2.10,2.19,2.19,1.20,1.45,2.39,2.39,2.19,2.35,2.19,2.17,2.12,1.14,1.16,1.16,2.19,2.05,2.38,2.18,1.75,1.45,1.45,2.39,2.19,2.19,2.19,1.73,1.91,1.73,2.76,,3.86,,2.76,,,3.31,3.31,2.20,2.76,2.20,,2.76,3.31,2.76,2.76,2.76,2.76,1.65,,,,2.76,2.20,,,,2.20,,,3.86,3.31,2.20,3.31,1.52,1.52,2.20
Ajo *,1 Kilogramos,2.49,3.64,3.30,3.30,3.64,2.29,2.29,2.29,1.73,2.65,2.45,2.29,2.29,2.29,2.07,3.27,3.64,2.29,2.29,3.64,1.75,2.75,3.64,2.29,2.29,3.86,2.65,3.64,4.55,2.29,1.75,2.29,2.27,2.18,2.43,2.45,2.45,,,3.64,,1.75,2.45,2.13,3.64,2.29,2.29,2.29,1.73,2.70,1.73,,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.90,1.15,
Cebolla Amarilla *,1 Kilogramos,1.76,1.75,1.76,1.76,1.75,1.76,1.76,1.76,1.74,1.76,1.76,1.76,1.76,1.76,1.56,1.74,1.75,1.76,1.76,1.54,1.76,1.76,1.75,1.76,1.76,1.75,1.69,1.75,1.75,1.76,1.76,1.76,1.73,1.71,1.71,1.76,1.76,1.76,1.76,1.74,,1.75,1.76,1.69,1.75,1.76,1.76,1.76,,1.76,1.73,1.76,1.76,1.76,1.76,,,,1.76,,1.76,1.76,1.76,,1.76,1.76,1.76,1.76,1.76,1.76,1.76,,,1.76,1.76,1.76,1.76,1.76,,1.76,,,1.76,1.76,1.76,1.76,1.58,1.76,1.76
Lechuga *,1 Kilogramos,1.49,3.11,4.45,4.45,3.11,3.59,2.95,2.75,2.62,,,2.95,2.95,2.95,2.98,,,2.95,2.95,,4.95,,3.11,2.95,2.95,2.25,1.85,3.11,3.11,2.95,2.75,2.95,2.68,2.67,2.17,1.85,1.85,3.59,2.89,3.11,,2.18,2.19,1.85,3.70,2.95,2.95,2.95,2.16,3.55,1.97,3.31,2.20,3.86,3.31,2.76,3.31,,2.76,3.31,2.20,1.76,2.76,,2.76,,2.76,3.31,,,1.76,,3.31,1.76,3.31,3.31,2.20,3.31,,2.20,,,,3.31,2.20,,1.74,2.18,2.75
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.85,,0.85,0.65,0.88,0.88,0.85,0.85,0.85,0.69,0.83,0.88,0.88,,0.88,0.85,,0.88,0.85,,0.85,0.88,0.88,0.88,0.85,,,0.85,0.75,0.83,0.88,0.88,0.77,0.86,0.88,0.77,0.88,0.88,0.88,0.88,0.85,0.85,0.85,0.75,0.82,0.75,,,0.88,,,,,,,,0.88,0.88,,,,,0.88,0.88,0.88,,,,0.77,0.88,,,0.88,,,,,0.88,,0.88,,,0.62,0.88
Papa Nacional *,1 Kilogramos,1.54,1.54,1.54,1.54,1.54,,1.54,1.54,1.52,1.54,1.54,1.54,1.54,1.54,,1.52,1.54,1.54,,1.54,1.54,1.54,1.54,1.54,1.54,1.49,1.44,1.54,1.54,1.54,1.43,1.54,1.52,1.46,1.42,1.54,1.54,1.54,1.50,1.54,,1.42,1.54,1.37,1.54,1.54,1.54,,1.40,1.29,1.31,1.54,1.54,1.54,1.32,1.54,,,1.54,1.48,1.54,1.32,1.54,,1.54,,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.32,1.54,1.43,1.54,1.54,,1.32,,1.54,1.54,1.54,1.32,1.54,1.43,1.28,1.54
Pl†tano Verde *,1 Unidades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,0.25,0.27,,,0.22,,0.27,0.23,,0.21,,0.21,0.50,0.25,0.45,0.50,0.35,0.35,0.50,0.50,0.35,0.35,0.35,0.35,,0.40,0.45,0.35,0.40,0.35,0.35,0.35,,0.40,0.35,0.35,0.35,0.25,0.35,,0.25,,,0.40,0.40,0.35,0.40,,0.25,0.20
Repollo Verde *,1 Kilogramos,1.80,1.78,3.08,3.08,1.78,2.29,2.29,2.29,1.76,2.35,2.25,2.29,2.29,2.29,2.27,,,2.29,2.29,,2.29,1.76,1.78,2.29,2.29,2.25,2.25,1.78,1.78,2.29,2.29,2.29,1.76,1.81,2.22,1.99,1.99,2.29,1.87,1.76,2.29,,2.29,2.25,1.78,2.29,,,1.50,1.47,2.33,2.20,2.20,2.76,2.76,1.76,2.20,,2.76,2.20,2.20,1.76,2.20,,2.09,1.76,2.20,2.76,2.20,1.76,1.65,,2.65,1.65,3.31,2.20,1.65,2.20,,2.09,,,2.76,2.76,1.43,2.76,1.74,1.52,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.71,2.71,2.71,2.71,2.71,2.40,1.99,2.40,1.97,1.65,1.15,1.99,1.99,1.99,1.13,,2.71,1.99,1.99,2.71,1.99,2.71,2.71,2.40,2.40,1.71,1.62,2.71,2.71,1.99,2.40,1.99,1.97,2.33,1.60,1.15,1.15,1.99,2.09,2.71,1.98,1.75,1.15,1.75,2.71,2.40,1.99,2.40,2.71,,1.73,2.20,2.20,2.71,2.71,2.20,2.71,,2.71,,2.20,,2.20,,2.20,,2.71,2.71,2.20,1.76,1.76,,2.20,,2.71,,1.43,2.71,,,,2.20,2.20,2.20,2.20,2.71,1.52,,1.65
Yuca *,1 Kilogramos,0.84,,,,0.66,,,,0.82,,,,,,0.58,0.56,0.66,0.66,,0.66,,0.84,0.66,,,0.66,,0.66,0.66,,,,0.64,0.70,0.64,,,,0.73,0.66,,0.72,,,0.66,,,,0.64,0.63,0.64,0.77,,0.84,,,,,,,,,,,,,,,,0.84,,,,,,0.77,,,,,,,,,,,0.64,0.64,0.83
Zanahoria *,1 Kilogramos,1.47,1.67,2.35,2.35,1.67,1.89,1.89,1.89,1.65,0.97,0.99,1.89,1.89,1.89,2.25,0.97,1.67,1.89,1.89,1.67,2.29,1.49,1.60,1.89,1.89,1.34,0.99,1.67,1.67,1.89,1.99,1.89,1.87,1.79,0.95,0.99,0.99,1.86,1.85,1.68,1.87,1.09,,0.97,1.67,,1.62,,0.85,1.73,0.85,2.20,2.20,2.09,2.76,1.76,2.20,,2.20,,2.20,1.76,1.87,,1.76,2.20,2.20,2.20,2.20,1.76,1.65,,2.65,1.76,2.76,,1.65,2.20,,2.09,,,2.76,3.31,1.87,2.20,1.52,1.08,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,3.06,3.00,3.00,2.84,3.09,2.54,2.62,1.70,2.36,2.36,2.62,2.54,3.09,2.14,,2.98,3.20,3.20,2.89,2.62,2.89,3.06,2.82,2.62,2.18,2.84,2.84,2.84,,2.62,3.09,2.05,2.14,2.14,2.40,2.40,3.09,2.76,,2.84,2.84,1.96,2.36,,,,,,,2.56,,,3.86,,,,,,,,,,,,,,,3.64,3.09,,,3.31,,2.98,,3.20,,,,2.76,,,,,,2.98,2.98,
Lentejas *,1 Kilogramos,1.89,1.54,1.61,1.61,1.52,1.43,1.43,1.39,1.23,1.43,1.43,1.54,1.43,1.43,1.28,1.39,1.76,1.43,1.43,1.54,1.65,1.74,1.54,1.43,1.48,1.28,1.43,1.52,1.43,1.48,1.43,1.61,1.50,1.23,1.23,1.43,1.43,1.43,1.28,1.43,1.43,1.28,1.10,1.10,1.43,1.61,1.52,1.54,1.06,1.23,1.23,1.87,1.59,2.20,2.76,2.20,1.87,,1.87,1.87,1.87,1.87,1.87,1.76,1.87,2.76,1.65,,2.09,1.65,1.87,2.20,2.20,1.87,1.87,1.61,1.61,1.87,1.65,1.65,1.65,1.87,1.87,1.87,1.87,1.61,1.39,1.30,1.61
Porotos Rojos *,1 Kilogramos,2.69,2.76,2.78,2.78,2.62,2.76,2.76,2.76,2.09,2.76,2.76,2.76,2.76,2.76,2.60,2.05,3.20,2.84,2.84,2.76,2.76,2.69,2.98,2.76,2.76,2.62,2.76,2.62,2.76,2.76,2.76,2.76,2.07,2.12,1.98,2.76,2.76,2.76,2.62,2.76,2.76,2.80,2.76,2.76,2.76,2.76,2.65,2.76,2.09,2.05,2.09,2.98,,2.76,3.31,3.31,2.98,,3.31,3.31,3.20,2.98,,2.98,3.31,2.76,2.54,2.76,2.76,2.76,2.76,2.20,3.20,2.98,3.20,2.87,2.76,3.20,,3.31,2.98,3.20,2.76,3.42,2.76,2.76,2.62,2.62,2.12
