Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,FRUTER÷A  MIMI,EL CANGREJO VIA ARGENTINA,ABT. JUAN CARLOS - BETHANIA,MINISUPER JANET BETHANIA,ABT. ELENA  BETHANIA,MINISUPER ESTELA BETHANIA,MS EL PROGRESO PARQUE LEFEVRE,MS EL CHEVERE  PAR. LEFEVRE,ABT. PANAMµ VIEJO PAR. LEFEVRE,MINI SUPER MAGIC PAN,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,M/S RICKY LIU,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,M/S CALLE 16,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante ,155 Gramos,0.68,0.55,0.77,0.77,0.69,0.39,0.39,,0.53,0.55,0.50,0.39,0.52,0.39,0.53,0.49,0.70,0.39,0.39,0.55,0.39,0.70,0.75,0.39,0.39,0.45,0.50,0.54,0.83,0.39,0.39,0.39,0.75,0.53,0.42,0.50,0.59,0.52,0.45,0.75,0.60,0.45,0.50,0.50,0.77,0.39,0.39,0.45,0.37,0.53,0.53,1.00,0.95,,0.85,0.85,1.00,0.60,0.85,0.95,,0.75,0.65,0.70,0.80,0.80,1.00,0.85,1.00,0.85,0.75,0.95,0.85,0.95,0.55,0.75,1.00,,0.85,0.55,1.00,0.80,0.60,0.88,0.60,0.65,0.58,0.45,0.65
Tuna en Agua ,142 Gramos,1.56,1.55,1.26,1.26,1.50,1.25,1.25,1.25,1.53,1.27,1.22,1.25,1.25,1.25,1.20,1.20,1.03,1.15,1.15,1.55,1.15,1.56,1.06,1.25,1.25,1.56,1.55,1.65,1.96,1.15,1.25,1.25,1.25,1.54,1.14,1.29,1.29,1.25,1.56,1.50,1.25,,,1.19,1.54,1.25,1.20,1.25,1.07,1.05,1.07,1.75,,1.85,1.65,1.65,,1.65,1.10,1.25,1.40,,1.45,,,1.25,,1.50,,,,,1.75,,,1.40,,,1.28,1.65,1.50,1.50,,1.95,,1.65,1.15,1.15,1.55
Jam¢n Cocido Empacado 4x4 ,1 Kilogramos,8.49,9.02,,,9.02,9.15,9.15,9.15,8.97,9.46,9.46,9.15,9.90,9.15,7.87,7.87,8.95,9.15,9.15,9.02,9.15,8.91,8.95,9.15,9.15,8.95,9.46,8.80,,9.15,9.15,5.49,,8.66,8.22,8.22,9.06,5.49,8.95,7.83,8.71,,,9.06,,,,,,8.60,8.60,,10.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) ,1 Kilogramos,,,8.71,8.71,,,,4.96,,5.93,,5.49,4.96,,,,,8.49,8.49,,8.49,,,8.49,8.49,8.51,,,,,,4.96,,,,,,,5.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter ,1 Kilogramos,,3.42,7.85,7.85,3.42,4.74,4.74,4.74,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,,3.42,3.42,3.42,,,,3.42,3.42,7.87,7.91,3.42,,3.42,3.42,7.61,,7.56,7.83,7.91,3.42,7.61,7.87,,7.61,3.42,3.42,3.42,4.96,,4.74,3.42,3.42,3.42,3.42,,5.40,,,7.39,,7.72,5.18,,,4.96,,,,,,,,,,,7.39,7.94,,7.72,,,,,,,7.72,7.61,7.72,7.61,5.18,3.64,
Arroz de Primera ,1 Kilogramos,0.88,,0.88,0.88,,0.88,0.88,,0.87,,,,0.88,0.88,,0.86,0.88,0.88,,0.88,0.88,,0.88,,,0.88,,,0.88,,,,0.86,0.85,0.86,,,,0.88,0.88,0.88,0.88,0.88,0.85,,,0.88,0.88,0.86,0.85,,,0.88,,0.88,0.88,0.88,,0.88,,,,,0.88,0.88,,0.88,0.88,,,,0.88,0.88,,0.88,0.88,,0.88,0.88,,0.88,,,0.88,,0.88,0.86,0.88,0.88
Codito ,454 Gramos,0.93,0.63,0.96,0.96,0.60,0.79,0.79,0.79,0.88,0.45,0.76,0.79,0.59,0.59,0.77,0.79,0.60,0.79,0.79,0.95,0.59,0.91,0.60,0.59,0.59,0.44,0.84,0.60,0.93,0.59,0.59,0.59,,0.42,0.77,0.45,0.78,0.59,0.44,0.60,0.59,0.76,0.84,0.45,0.60,0.79,0.79,0.79,0.42,0.67,0.80,1.00,1.15,0.95,1.00,0.65,0.95,0.95,,,0.85,0.85,0.95,0.90,0.85,0.90,,,0.85,0.85,1.00,0.95,1.00,1.00,0.85,0.95,1.00,0.95,0.90,0.60,0.95,0.90,,0.90,1.00,0.85,0.89,0.89,0.95
Crema  de Ma°z ,300 Gramos,0.88,0.55,0.64,0.64,0.79,0.60,0.60,0.60,0.58,0.59,0.63,0.60,0.60,0.60,0.61,0.61,0.69,0.60,0.60,0.79,0.60,0.68,0.69,0.60,0.60,0.63,0.63,0.79,,0.60,0.60,0.60,,0.58,0.61,0.63,0.70,0.60,0.63,0.79,0.60,0.62,0.63,0.63,,0.71,0.65,0.71,0.61,0.63,0.65,,1.05,,,,,,0.95,,,,,,,,,,1.00,,,,,,,,0.75,1.15,,,,,1.00,0.70,,,0.99,0.59,
Hojuelas de Ma°z (corn flakes) cajeta ,300 Gramos,3.34,2.45,2.50,2.50,2.20,1.79,1.79,1.79,1.98,2.36,2.36,1.79,1.79,3.25,2.25,2.25,2.20,1.79,1.79,2.20,1.79,2.25,2.20,1.99,1.99,2.45,2.36,2.20,,1.79,1.79,1.99,,2.25,2.45,2.36,2.79,1.79,3.95,2.85,3.25,3.15,3.15,3.15,2.85,3.25,,3.25,3.15,3.15,3.15,,4.35,,,2.50,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,3.19,
Macarrones (espaguetti) Cal 3- 5 ,454 Gramos,0.91,0.63,0.84,0.84,0.60,0.63,0.63,0.63,0.57,0.45,0.45,0.63,0.59,0.59,0.75,0.77,  ,0.63,0.63,0.63,0.59,0.88,0.60,0.59,0.59,0.44,0.45,,0.93,0.59,0.59,0.59,0.93,0.54,0.55,0.45,0.75,0.59,0.44,0.60,0.59,0.56,0.85,0.45,0.60,0.59,0.63,0.63,0.42,0.76,0.61,1.00,0.95,0.95,0.85,0.65,0.95,0.55,0.85,0.85,0.85,0.85,0.95,0.90,0.85,0.85,0.59,0.95,0.85,0.85,0.85,0.55,0.95,0.85,0.85,0.85,0.90,0.95,0.85,0.65,0.90,0.75,0.85,0.90,1.00,0.85,0.59,0.59,
Pan de Michita ,1 Kilogramos,,,,,,,,,,,,,,,3.00,,,,,,,,,,,,,,,,2.49,,,2.25,3.00,,,,3.37,,3.70,,3.52,,2.75,3.70,,,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,
Pan Molde ,500 Gramos,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,0.90,,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,,0.92,0.92,0.90,0.90,,0.92,0.92,,0.92,,0.92,,0.92,0.92,0.92,,,,0.90,0.89,0.90,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,0.92,,,0.92,,,,,0.92,0.92,
Tortilla de Ma°z ,10 Unidades,1.10,1.15,1.45,1.45,1.02,1.05,1.05,1.05,0.98,0.95,1.03,1.05,1.05,1.05,0.91,0.87,,1.15,1.15,0.95,0.79,1.10,,1.09,0.99,0.87,0.96,0.90,,0.82,0.82,0.82,,0.95,0.87,0.69,0.79,0.82,0.59,0.99,1.05,0.96,0.99,,0.99,1.05,1.05,1.05,0.87,0.94,0.98,1.15,1.25,,1.25,1.00,1.00,1.00,1.10,1.10,0.85,1.00,1.00,1.10,1.00,1.15,1.00,,1.00,1.00,1.15,1.00,1.00,1.00,1.00,1.00,1.00,,1.00,1.00,1.00,1.00,0.85,1.00,1.00,0.85,0.75,0.99,0.95
Aj° Dulce y/o picoloro ,1 Kilogramos,3.27,2.60,3.45,3.45,2.30,1.99,1.99,,1.97,2.09,1.99,1.99,1.99,1.99,,1.97,2.36,1.99,1.99,2.36,1.99,,2.36,1.99,1.99,1.98,1.99,2.60,,1.99,1.99,2.95,,,1.93,1.99,1.99,1.99,1.59,2.30,1.99,1.74,1.99,2.09,2.30,1.99,1.99,1.75,1.72,,1.72,2.76,4.29,2.20,1.76,3.31,,2.76,,2.20,,2.76,3.31,3.31,3.31,,,,,1.65,2.20,3.31,2.20,2.76,2.20,2.76,,,2.20,,,2.20,3.86,3.31,2.20,3.31,,2.18,
Ajo ,1 Kilogramos,3.96,4.55,4.50,4.50,4.55,2.95,2.95,2.95,2.93,2.79,2.49,2.95,2.95,2.95,2.60,2.87,4.55,2.95,2.95,,2.95,2.68,4.55,2.95,2.95,3.86,2.79,,,2.95,2.95,2.95,,2.93,,2.79,2.49,2.95,3.86,4.55,2.95,,,2.89,4.55,2.95,,2.68,2.83,2.87,2.83,,2.50,4.41,,,,,,,,4.41,,,,,,,,2.20,,,,,,,,,,,,,,,,,,,
Cebolla Amarilla ,1 Kilogramos,1.76,1.50,1.76,1.76,1.50,1.65,1.65,1.65,1.37,1.09,1.09,1.65,1.65,1.65,0.86,1.07,,1.79,1.79,1.76,1.30,1.30,1.79,1.33,1.33,1.43,1.09,1.75,1.50,1.65,1.75,1.65,1.37,1.06,1.11,1.09,1.09,1.39,1.08,1.50,1.39,1.08,1.20,0.95,1.50,1.39,1.39,1.67,1.21,1.28,1.06,1.76,1.76,1.76,1.76,,1.32,2.20,1.76,1.76,1.76,1.76,1.76,1.76,2.20,,1.76,,1.32,1.76,1.76,1.76,1.32,1.76,,1.76,1.32,,1.32,,1.10,1.76,1.76,2.20,1.76,1.32,1.06,,1.76
Lechuga ,1 Kilogramos,2.20,,4.45,4.45,4.55,2.75,2.75,2.75,4.37,2.65,2.49,2.75,2.75,2.75,2.65,2.65,3.70,2.99,2.99,,2.75,2.09,3.70,2.99,2.99,2.54,,2.25,,2.75,2.75,2.75,,3.27,2.63,2.05,2.49,2.75,3.75,3.10,2.75,2.30,2.49,2.49,2.43,2.99,2.99,2.99,2.63,2.25,2.63,4.41,2.75,3.31,2.76,3.31,,3.31,3.30,3.31,2.20,3.31,3.31,3.31,2.20,,3.31,,,2.20,,3.31,2.20,3.31,3.20,2.76,3.31,,2.75,,,2.76,5.51,4.41,3.20,6.06,2.18,,2.75
•ame Diamante ,1 Kilogramos,,0.88,0.88,0.88,,0.85,,0.85,0.83,0.85,0.75,0.85,0.85,,,,0.88,,,0.88,0.85,,0.88,0.85,0.85,0.72,0.75,0.88,0.88,,,,0.86,,,0.65,0.69,0.85,0.88,0.88,0.85,0.75,0.79,0.69,0.88,0.85,0.85,0.85,0.80,0.75,0.73,,,,,,,,,,0.77,1.10,0.88,0.77,,,0.88,,0.88,,,0.88,,0.88,,,0.88,,0.88,,,0.99,,,,0.88,0.88,0.86,0.88
Papa Nacional ,1 Kilogramos,1.76,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.50,1.35,1.40,1.54,1.54,1.54,1.38,1.38,1.54,1.54,1.54,1.76,1.54,1.76,1.54,1.76,1.76,1.35,1.49,1.54,1.54,1.54,1.54,1.29,1.50,1.52,1.38,1.35,1.27,1.54,1.56,1.52,1.54,1.43,1.40,1.35,1.54,1.54,1.54,,1.41,1.49,1.41,1.76,1.76,1.76,1.65,1.54,1.54,2.20,1.54,1.76,1.32,1.65,1.54,1.32,1.87,,1.54,,1.54,1.32,1.54,1.76,1.54,1.54,1.54,1.54,1.54,,1.32,,1.65,1.32,1.87,1.54,1.87,1.54,1.43,1.30,1.54
Pl†tano Verde ,1 Unidades,,,,,0.25,0.23,0.23,0.24,0.22,0.20,0.20,0.23,0.23,0.23,0.20,,,,,,,,,,,0.22,0.19,,0.25,0.23,,0.23,0.22,0.21,,0.21,,0.23,0.21,,,0.20,0.19,0.23,0.24,0.23,0.23,0.23,0.20,0.20,0.20,0.50,,0.35,0.40,0.35,0.35,0.40,0.40,0.35,0.40,0.35,0.50,0.45,0.35,,0.40,,0.40,0.35,0.45,0.45,0.35,0.40,0.35,0.40,0.40,,0.35,,0.35,0.35,0.35,0.40,0.35,0.40,,0.30,
Repollo Verde ,1 Kilogramos,2.20,2.00,3.08,3.08,1.76,2.29,2.29,2.49,1.98,1.52,1.85,2.29,2.29,2.29,2.41,2.15,1.76,2.29,2.29,,2.29,2.20,1.76,2.29,2.29,1.85,1.85,,,2.29,2.29,2.50,,2.27,1.50,1.85,1.85,2.29,2.95,1.85,2.75,2.39,2.45,1.95,1.76,2.29,2.29,2.29,2.37,2.19,1.97,2.76,2.76,2.20,1.76,2.20,,2.76,2.20,2.75,,2.20,2.20,1.76,3.31,,2.20,,1.76,,2.20,2.65,2.20,3.31,2.76,2.20,2.76,,1.98,,,1.54,2.76,2.76,2.76,2.76,2.18,2.09,1.65
Tomate Nacional (Perita ¢ 3 x 3) ,1 Kilogramos,2.35,2.60,2.71,2.71,2.69,2.95,2.95,2.95,2.58,2.99,2.89,2.95,2.95,2.95,2.67,2.67,2.60,2.95,2.95,2.95,2.95,2.40,2.60,2.95,2.95,3.25,2.79,2.69,2.60,2.95,2.95,3.19,2.58,3.10,2.93,2.89,2.69,2.95,3.25,2.60,2.39,3.25,2.79,2.69,2.70,2.95,2.95,2.95,2.58,2.58,2.58,4.41,3.20,,2.76,3.31,,3.31,2.71,3.31,,3.86,2.54,3.31,2.76,,2.71,,2.20,,3.31,4.41,3.31,2.98,,2.71,3.31,,2.20,,,2.76,3.86,2.71,2.71,2.71,2.75,2.75,1.45
Yuca ,1 Kilogramos,0.80,0.66,,,0.66,,,,,,,,,,,,0.66,0.66,,0.66,,0.61,0.66,,,0.95,,,,,,,,,0.93,,,,0.95,0.66,,0.85,,,0.66,,,,0.83,,0.83,1.65,1.43,1.65,,,,,,,,,,,,,,,0.62,,,,1.10,,1.10,0.77,,,,,,,,,1.32,,1.21,,0.83
Zanahoria ,1 Kilogramos,1.67,2.35,2.45,2.45,1.95,1.59,1.59,1.59,1.57,1.42,1.42,1.59,1.59,1.59,2.01,1.40,1.90,1.59,1.59,2.35,1.59,1.61,1.90,1.59,1.59,1.32,1.59,,1.95,1.59,1.59,1.79,1.57,1.57,1.16,1.42,1.42,1.59,1.89,1.90,1.59,,1.42,1.42,1.90,1.59,1.59,1.59,1.83,,1.53,2.76,2.09,2.20,1.76,2.20,,2.20,2.20,,1.76,1.87,2.20,1.76,2.20,,2.20,,2.20,1.65,2.20,2.65,1.65,2.76,2.20,1.65,2.20,,2.09,,,1.65,2.76,3.31,2.20,2.20,1.52,1.50,1.87
Frijoles Chiricanos ,1 Kilogramos,2.93,3.06,3.00,3.00,2.98,2.54,2.54,2.54,1.98,2.40,2.40,2.54,2.54,2.54,2.14,2.27,,2.62,2.62,3.31,2.84,2.93,,2.54,2.54,2.40,2.36,2.98,2.98,2.54,2.54,2.54,,2.93,2.23,2.40,2.36,2.54,2.40,2.98,2.76,2.40,2.36,2.84,2.76,2.54,2.54,2.84,2.07,3.04,2.56,,3.86,,3.31,3.20,,,2.64,,,3.31,,,,2.98,,,3.09,,,,3.42,3.42,3.64,,3.31,3.31,,2.76,,,2.98,,3.20,,3.31,3.06,3.20
Lentejas ,1 Kilogramos,2.54,2.09,2.34,2.34,2.09,2.18,2.18,2.18,2.07,1.43,0.99,1.43,1.43,2.18,1.26,1.28,2.09,2.74,,2.09,2.18,1.96,2.09,2.18,2.18,2.09,0.99,2.09,2.14,2.18,1.43,1.43,2.07,1.39,1.41,0.99,1.43,1.43,2.09,2.40,2.18,2.09,0.99,0.99,2.09,2.18,2.18,1.43,0.95,1.39,1.39,4.08,3.86,3.31,2.20,2.98,2.20,3.09,3.09,3.20,2.98,2.76,,2.76,2.76,2.76,,,2.98,,3.20,3.20,2.98,3.31,3.31,2.98,2.98,2.98,,2.43,2.98,3.20,2.98,3.64,2.98,,2.18,2.75,2.54
Porotos Rojos ,1 Kilogramos,2.81,2.65,2.40,2.40,2.54,2.54,2.54,2.62,2.62,2.76,2.76,2.54,2.54,2.54,2.38,2.38,2.54,2.54,2.54,2.65,2.54,2.69,2.54,3.28,3.28,2.31,2.16,2.54,2.54,3.06,2.54,2.98,2.51,2.27,2.29,2.43,2.47,3.06,2.31,2.54,2.62,2.31,2.40,2.43,2.54,2.54,2.54,2.54,2.38,2.12,2.43,3.31,3.64,3.53,,3.20,3.31,3.31,3.86,3.20,3.20,3.31,3.31,3.20,3.20,,,,2.98,,3.31,3.20,3.31,3.31,3.31,3.20,3.31,3.42,3.31,2.98,2.64,3.20,3.20,3.42,3.20,3.20,2.93,2.82,3.20
Guineos ,1 Kilogramos,1.11,0.99,1.15,1.15,0.99,0.99,,0.99,0.97,0.80,0.80,0.99,0.99,0.99,0.78,0.78,0.94,0.99,0.99,0.99,0.99,1.01,0.94,0.99,0.99,0.89,0.79,0.99,0.95,0.99,0.99,0.99,0.92,0.97,0.77,0.85,0.85,,0.99,0.94,0.99,0.87,0.94,0.87,0.95,0.99,0.99,0.99,0.85,0.83,0.85,1.21,1.21,,1.10,1.10,,1.10,1.10,,1.10,,1.21,1.10,1.10,,,,,,1.10,1.10,1.10,1.10,1.10,1.10,1.10,,,,1.10,,1.10,1.10,1.10,1.10,0.86,0.86,1.10
