Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/ BELLA VISTA,FRUTER÷A  MIMI,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER  EL PROGRESO ,MINISUPER  EL CHEVERE ,ABT. PANAMµ VIEJO,MINI SUPER MAGIC PAN,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO ,MIINIMARKET VICKY,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,M/S CALLE 16,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.74,0.55,0.77,0.77,0.75,0.39,0.39,0.39,0.49,0.55,0.50,0.39,0.52,0.39,0.53,0.42,0.75,0.60,0.39,0.55,0.39,0.70,0.55,0.39,0.39,0.45,0.59,0.54,0.65,0.39,0.39,0.39,0.53,0.53,0.37,0.59,0.58,0.39,,,,0.44,0.45,0.55,0.75,0.39,0.39,0.39,0.37,0.69,0.53,1.00,,0.95,1.00,0.75,1.00,0.65,0.85,0.75,1.15,0.95,0.75,0.75,0.85,0.85,0.95,0.85,0.65,1.00,0.95,,0.89,0.85,0.55,1.10,0.95,0.60,,0.55,1.00,0.80,,,,,0.59,0.59,
Tuna en Agua *,142 Gramos,1.56,1.65,1.51,1.51,1.65,1.25,1.25,1.25,1.53,1.26,1.22,1.25,1.25,1.25,1.23,1.20,1.50,1.25,1.25,1.55,1.75,,1.55,1.25,1.29,1.56,1.55,1.50,1.50,1.25,1.25,1.25,1.48,1.14,1.53,1.29,1.29,1.25,1.56,1.50,1.25,,1.25,1.55,,1.25,1.20,1.20,1.07,1.05,1.40,1.75,1.70,1.85,1.65,1.65,1.75,1.65,1.65,1.60,1.65,1.55,1.25,1.50,1.65,,,,,,1.50,1.65,1.75,1.65,1.75,,1.65,1.35,,1.65,1.50,1.55,1.60,1.65,,1.65,1.09,1.15,1.55
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,,8.93,,,9.02,9.15,9.15,9.15,8.88,9.46,9.46,9.15,9.15,9.15,7.83,9.11,8.91,9.15,9.15,8.93,9.15,,8.93,9.15,9.15,8.95,9.46,8.93,8.95,9.15,9.15,9.15,8.86,8.91,8.18,9.15,9.06,9.15,8.95,8.91,9.15,,9.68,,,,,,,,,,,10.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,5.71,8.71,8.71,,8.49,8.49,8.49,8.82,8.82,8.82,8.49,8.49,8.49,8.75,,,,8.49,,,,,,,8.51,,,,8.49,8.49,8.49,8.40,8.44,8.82,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.41,3.42,7.85,7.85,,7.61,7.61,7.61,7.56,3.42,7.91,7.61,7.61,7.61,7.56,7.56,7.61,7.61,7.61,,3.42,7.41,7.69,7.61,4.74,3.42,7.91,7.83,2.60,3.42,7.61,3.42,7.56,7.39,7.83,3.42,3.42,7.61,7.87,7.61,7.61,3.42,,3.42,3.42,,,3.42,3.42,,3.42,,,8.49,7.17,7.39,,7.72,8.27,7.72,7.72,7.72,,,7.83,8.27,,,,,,,,,8.27,7.17,3.75,,,,,,7.72,7.39,7.72,7.61,3.42,,
Arroz de Primera *,1 Kilogramos,0.88,,,,,0.88,0.88,0.88,0.88,,,0.88,0.88,0.88,0.88,,0.88,,,,,,,,,,,,0.88,0.88,,0.88,,,,,,,,,,,,,,,0.88,0.88,,,,,,0.88,0.88,,,0.88,,,,,,,,0.88,,0.88,,,,0.88,0.88,,,0.88,0.88,,,,,,,0.88,,0.88,,,
Codito *,454 Gramos,0.96,0.63,0.96,0.96,0.60,0.59,0.59,0.79,0.79,0.45,0.88,0.59,0.59,0.59,0.79,0.79,0.60,0.79,0.79,0.63,0.79,0.99,0.63,0.79,0.79,0.55,0.84,0.60,0.60,0.79,0.79,0.59,0.57,0.72,0.85,0.45,0.81,0.79,0.65,0.60,0.79,0.92,0.45,0.45,0.60,0.95,0.59,0.79,,0.71,0.71,1.00,0.60,0.95,1.00,0.65,0.95,0.95,0.65,0.85,0.65,0.85,0.95,0.90,0.85,0.85,0.85,0.85,1.00,0.95,1.00,0.55,1.00,0.95,1.00,0.95,1.00,0.95,0.90,0.80,0.95,0.90,0.85,0.90,0.90,0.85,0.89,,0.95
Crema  de Ma°z *,300 Gramos,0.90,0.79,0.70,0.70,0.69,0.60,0.60,0.60,0.63,0.63,0.63,0.60,0.60,0.60,0.53,0.54,0.79,0.60,0.60,0.69,0.71,0.70,0.69,0.47,0.71,0.63,0.63,0.79,0.79,0.60,0.60,0.60,0.53,0.54,0.54,0.63,0.52,0.60,0.59,0.87,0.65,,0.63,0.63,0.69,0.55,0.99,0.55,0.54,0.57,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,1.00,1.25,0.85,0.85,1.15
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.15,1.75,2.50,3.23,2.85,1.79,2.19,2.19,1.98,2.65,2.36,2.99,1.99,3.25,2.25,2.25,1.75,3.25,1.99,1.75,2.99,2.44,2.79,3.25,1.99,2.76,2.65,2.82,1.75,3.19,3.25,3.25,2.25,2.25,2.45,2.35,2.36,2.29,,,,3.15,2.61,2.65,2.85,3.25,,,2.63,3.15,3.15,,,4.45,,2.50,,,,,,,,2.75,2.65,2.95,,,,,,,,2.75,,,,3.50,,,,,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.93,0.95,0.58,0.96,0.60,0.59,0.59,0.59,0.57,0.45,0.45,0.59,0.59,0.59,0.77,0.77,0.60,0.59,0.72,0.95,0.72,0.91,0.95,0.59,0.72,0.44,0.45,0.93,0.90,0.59,0.59,0.59,0.57,0.54,0.54,0.45,0.45,0.59,0.58,0.60,0.63,0.44,,0.45,0.60,0.87,0.59,0.72,,0.60,0.77,1.00,0.60,0.95,0.95,0.65,,0.55,0.90,0.85,0.85,0.95,0.95,0.90,0.85,0.85,0.85,0.95,1.00,0.95,0.85,0.55,0.95,0.85,0.65,0.95,0.90,0.95,0.55,0.60,0.90,0.75,0.95,0.90,1.00,0.85,,0.59,0.85
Pan de Michita *,1 Kilogramos,,3.10,,,3.10,,,,,,,,,,3.00,,3.10,,,3.10,,,3.10,,,,,,3.10,,2.49,,,,3.00,,,,,,3.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.08,,,,,,
Pan Molde *,500 Gramos,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.90,0.92,0.92,0.92,0.92,0.92,0.90,0.90,0.92,,0.92,0.92,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.90,0.90,,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,,,0.90,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,0.92,0.92,0.92
Tortilla de Ma°z *,10 Unidades,1.10,0.95,1.45,1.45,0.95,0.82,0.85,1.05,0.88,0.96,1.03,0.82,1.05,0.82,0.91,0.73,0.95,0.82,0.82,1.02,1.05,1.10,0.95,0.72,1.05,0.75,0.96,0.90,0.95,0.85,1.05,0.82,0.80,0.95,0.73,0.96,1.09,0.82,0.89,0.95,1.09,0.89,0.99,0.95,0.98,1.05,1.05,0.98,0.75,,0.95,1.15,1.25,1.25,1.25,1.00,1.00,1.00,1.10,1.25,1.00,1.00,1.00,1.10,1.00,1.00,1.00,,1.00,1.00,1.15,1.00,1.00,1.10,1.10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.85,1.00,,1.65,1.05,0.85,0.95
Aj° Dulce y/o picoloro *,1 Kilogramos,3.27,2.60,3.95,3.95,2.30,,2.95,2.95,2.93,2.89,2.89,2.95,2.95,2.95,2.62,2.93,2.30,2.95,,,3.75,3.27,2.60,2.95,3.73,2.89,2.79,2.60,,2.95,1.99,2.95,2.93,2.87,2.67,2.89,2.89,2.95,2.89,2.30,,2.88,2.89,,2.30,2.95,2.95,,,,,4.41,2.20,3.86,2.76,3.31,,3.31,4.41,2.76,3.31,3.31,,3.31,3.31,,,,,,,2.65,2.20,3.31,2.76,2.76,2.76,2.76,2.20,,,2.76,3.86,3.31,3.31,3.31,2.18,2.75,1.65
Ajo *,1 Kilogramos,3.96,4.55,4.50,4.50,4.55,2.95,2.95,2.95,2.93,2.79,2.49,2.95,2.95,2.95,2.77,2.29,4.55,2.95,2.95,,2.95,2.82,4.52,2.95,2.95,3.86,2.69,4.55,,2.95,2.95,2.95,2.93,2.47,2.41,2.79,2.89,2.95,,,,,2.97,2.79,4.55,2.95,2.95,2.68,2.83,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cebolla Amarilla *,1 Kilogramos,1.87,1.43,1.76,1.76,1.50,1.65,1.65,1.65,1.41,1.15,,1.65,1.65,1.65,1.19,1.41,1.43,1.49,1.65,1.43,1.49,1.70,1.75,1.65,1.49,1.44,1.43,1.43,1.50,1.65,1.65,1.65,1.41,1.41,1.41,1.43,1.43,1.65,1.44,1.43,1.39,,1.43,1.29,1.43,1.65,1.65,1.65,1.11,1.41,1.11,1.76,1.98,1.76,1.65,1.76,1.76,2.20,1.76,1.76,1.76,2.20,1.76,1.76,2.20,1.76,1.76,,1.76,1.76,1.76,1.76,1.32,1.76,1.76,1.76,1.76,1.54,1.76,,1.76,1.65,1.76,2.20,1.87,1.76,1.30,1.30,1.76
Lechuga *,1 Kilogramos,3.81,,4.76,4.76,,3.29,3.95,3.95,,3.65,,3.95,3.95,3.95,2.65,2.65,,,,2.84,,,,3.95,3.95,3.25,,,,,2.99,3.95,,3.27,2.63,,,3.95,3.75,,3.95,3.15,,3.65,,3.95,,,1.82,,2.63,6.06,,5.40,4.41,3.31,,3.31,3.31,2.76,,,3.86,3.31,3.31,,3.31,,,,,,,3.86,4.41,2.76,3.31,,,,,3.31,5.51,6.06,3.20,6.06,3.94,4.95,2.75
•ame Diamante *,1 Kilogramos,,0.88,0.88,0.88,0.88,0.79,,0.88,0.77,0.85,,0.79,0.79,0.79,0.77,0.83,0.88,0.95,,0.88,0.95,0.80,0.88,0.95,,0.88,,0.88,0.88,0.79,,,0.83,0.83,0.83,,,0.79,0.88,0.88,0.95,0.93,,,0.85,0.79,0.79,0.79,0.77,0.73,0.77,,,,1.43,,,,,0.88,0.88,1.21,0.88,1.10,,,0.88,,0.88,,0.88,0.88,0.88,0.88,1.76,,,0.88,0.88,,,,,,1.10,0.88,0.88,0.86,0.88
Papa Nacional *,1 Kilogramos,1.76,1.54,1.54,1.54,1.54,1.54,1.54,1.54,1.50,1.29,1.35,1.54,1.54,1.54,1.13,1.33,1.54,1.54,1.54,1.52,1.54,1.61,1.54,1.54,1.54,1.35,1.32,1.54,1.54,1.54,1.54,1.54,1.50,1.30,1.30,1.35,1.32,1.54,1.56,1.52,1.54,1.29,1.29,1.32,,1.54,1.54,1.54,1.32,1.28,1.27,1.87,1.76,1.76,1.54,1.54,1.54,1.54,1.76,1.76,1.54,1.65,1.54,1.32,1.87,1.32,1.54,,1.32,1.32,1.54,1.76,1.32,1.54,1.76,1.76,1.65,1.54,1.21,,1.54,1.32,1.87,1.54,1.87,1.54,1.30,1.17,1.54
Pl†tano Verde *,1 Unidades,0.23,0.27,0.32,0.32,0.25,0.23,0.26,0.26,0.22,0.23,0.20,0.23,0.23,0.23,,0.22,0.24,0.23,0.23,0.27,,0.25,0.25,0.23,,0.23,0.20,,0.25,,0.25,0.23,0.22,0.19,0.19,0.23,0.23,0.23,,,,0.17,0.23,0.23,0.24,0.23,0.23,0.26,0.22,0.20,,0.50,0.35,0.45,0.40,0.35,0.35,0.40,0.40,0.35,0.40,0.35,0.50,0.45,0.45,0.35,0.40,,0.45,0.35,,0.40,0.40,0.45,0.40,0.40,0.40,0.35,0.35,,0.35,0.40,,0.40,0.35,0.40,,0.30,0.25
Repollo Verde *,1 Kilogramos,2.20,2.00,3.30,3.30,1.76,2.29,2.29,2.29,1.98,,,2.29,2.29,2.29,2.19,2.15,1.76,2.29,2.29,2.00,2.29,1.48,2.00,2.29,2.29,1.85,1.85,2.00,1.76,2.29,2.29,2.50,1.74,1.83,1.83,1.85,1.85,2.65,,,,2.39,1.85,1.85,1.76,2.29,2.29,2.29,,,1.97,2.76,2.20,2.76,2.20,2.20,,2.20,3.31,2.20,2.20,2.20,2.20,1.76,2.20,,2.20,,1.98,1.65,2.20,2.65,2.20,3.31,2.76,2.76,2.76,2.20,2.09,,,1.87,,,,,1.87,1.30,1.65
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.87,2.60,2.71,2.71,2.69,2.49,2.85,2.85,2.53,2.89,2.89,2.95,2.85,2.85,2.88,2.93,2.55,2.85,2.85,2.89,4.19,3.41,2.60,2.85,,2.90,2.89,2.69,2.60,2.85,2.85,2.85,2.53,2.97,2.93,2.89,2.89,2.95,3.25,2.60,2.85,3.79,2.89,2.89,2.55,2.85,,3.19,,2.83,,4.41,2.87,3.86,3.31,2.76,,3.31,3.75,4.41,3.86,3.86,2.65,3.31,2.76,3.86,2.71,,,,,2.20,2.76,3.31,3.31,2.76,3.31,3.31,2.20,,2.76,2.76,4.30,,,3.31,2.97,3.06,1.65
Yuca *,1 Kilogramos,0.80,0.66,,,,,,,0.64,,,,,,,,0.66,,,0.66,,,0.66,,,0.95,,0.66,,,,,,,,,,,0.95,,,,,,,,,,,0.82,,,,1.43,1.32,,,,1.65,,,,,,,,,,,,,,,,1.10,1.10,,,,,,,,,1.32,,,1.06,0.62
Zanahoria *,1 Kilogramos,1.67,2.35,2.45,2.45,1.90,1.85,1.85,1.85,1.77,1.42,1.42,1.85,1.85,1.85,1.40,1.40,1.90,1.85,1.85,2.35,1.85,1.47,2.35,1.85,1.85,1.32,1.42,2.35,1.95,1.85,1.59,1.85,1.83,1.30,1.30,1.55,1.42,1.85,1.89,1.90,1.85,1.49,1.42,1.42,1.90,1.85,1.79,1.85,1.29,1.40,1.87,2.76,2.20,2.09,2.20,2.20,,2.20,2.20,2.20,2.20,1.87,2.20,1.76,2.20,1.76,2.20,,,1.65,2.20,2.65,2.20,2.76,2.20,2.20,2.76,2.76,2.09,,1.65,2.20,,3.31,2.20,2.20,1.52,1.50,1.87
Frijoles Chiricanos *,1 Kilogramos,2.93,2.43,3.00,3.00,2.43,2.54,2.54,2.54,1.98,2.36,2.40,2.54,2.54,2.54,2.14,2.51,2.90,2.54,2.54,2.43,2.84,2.93,2.43,2.54,2.84,2.40,2.40,2.43,2.98,2.54,2.54,2.54,2.38,2.23,2.07,2.40,2.40,2.54,,,,,2.40,2.84,,2.54,2.54,2.84,2.76,2.07,2.07,,,3.86,3.31,3.20,,,,,3.31,,,,,,3.31,,2.87,,3.64,3.31,3.42,3.42,3.64,3.15,2.98,3.64,,2.76,,,2.76,,,,2.98,3.28,2.91
Lentejas *,1 Kilogramos,2.54,2.09,2.34,2.67,2.09,1.43,1.43,1.43,1.41,1.65,1.65,1.43,1.43,1.43,1.29,1.39,2.09,1.43,1.43,2.09,1.43,2.54,2.09,1.43,1.43,2.43,1.65,2.09,2.09,1.43,1.43,1.43,1.41,1.39,1.39,1.65,2.20,1.43,2.43,2.09,1.43,2.43,1.65,1.32,2.09,3.06,2.18,1.43,1.61,,2.31,3.31,3.20,3.86,3.31,3.20,2.76,3.09,3.09,3.20,2.98,2.98,3.20,2.76,2.76,3.20,2.20,2.76,2.98,,3.20,3.20,2.20,3.31,3.09,3.15,3.20,3.20,3.20,2.43,2.98,3.20,2.98,3.64,2.98,2.98,2.18,2.18,2.98
Porotos Rojos *,1 Kilogramos,2.84,2.65,2.40,2.40,2.54,2.84,2.84,2.98,2.62,2.76,2.76,2.98,2.98,2.98,2.71,2.71,2.54,2.54,2.54,2.65,2.54,2.69,2.65,2.54,2.98,2.31,2.76,2.54,2.54,2.98,2.84,2.98,2.51,2.29,2.27,2.76,2.76,3.06,2.84,2.54,2.76,2.31,2.16,2.09,2.54,2.98,2.98,2.98,2.27,2.23,2.49,3.31,3.42,3.64,3.31,3.31,3.31,3.31,4.08,3.53,3.20,3.31,3.31,3.20,3.20,4.08,2.76,2.98,,,3.31,3.20,2.76,3.42,3.31,3.20,3.31,3.53,3.31,2.76,3.64,3.20,3.20,3.86,3.20,3.20,3.20,2.98,3.20
Guineos *,1 Kilogramos,1.01,0.99,1.15,1.15,0.99,0.99,0.99,0.99,0.97,0.80,0.80,0.99,0.99,0.99,0.78,0.78,0.94,0.99,0.99,0.99,0.99,1.01,0.96,0.99,0.99,0.89,0.79,0.99,0.95,0.99,0.99,0.99,0.92,,0.77,0.85,0.85,,0.99,0.94,,0.94,,0.87,,0.99,0.99,0.99,,0.88,0.88,1.21,1.32,1.21,1.10,,,1.10,1.10,,,,1.21,1.10,1.10,1.10,,,,,,1.10,1.10,1.10,1.10,1.10,1.10,1.10,,,1.10,,1.10,1.10,,1.10,0.86,0.86,0.99
Manzana Roja Mediana *,1 Unidades,,,0.45,0.45,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,,,,0.35,,,,,,,,,,0.65,0.60,0.50,0.50,0.50,,0.50,0.55,0.50,0.60,0.55,0.60,0.60,0.50,0.50,,,,,0.50,0.55,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,
