Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 RICARDO J. ALFARO,XTRA RICARDO J. ALFARO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,FRUTER÷A  MIMI,EL CANGREJO VIA ARGENTINA,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.53,0.69,0.88,0.77,0.70,0.39,0.39,0.39,0.48,0.55,0.65,0.45,0.39,0.39,0.57,0.53,0.54,0.39,0.39,0.69,0.45,0.68,0.69,0.45,0.45,0.45,0.55,0.69,0.65,0.39,0.39,0.39,0.53,,0.57,0.55,0.85,0.45,0.45,0.65,0.52,0.45,,0.55,0.54,0.39,0.39,0.39,0.49,,0.57,1.00,0.95,,1.00,,0.65,0.95,0.85,0.85,0.85,0.90,0.75,0.95,0.90,0.55,,0.85,0.85,0.80,0.85,0.75,0.50,0.75,0.55,0.75,0.80,0.85,0.85,0.75,0.60,,0.60,0.80,0.85,0.85,,0.45,0.55,
Tuna en Agua *,142 Gramos,1.56,1.35,1.35,1.70,1.50,1.49,1.30,1.30,1.53,1.45,1.35,1.30,1.30,0.99,1.28,1.23,1.65,,,1.55,1.15,1.56,1.55,1.25,1.25,1.56,1.30,,1.50,1.25,1.25,1.25,1.23,,1.53,1.25,,,1.56,1.50,1.25,1.56,1.09,1.09,,1.20,1.20,,1.07,1.07,,1.75,1.85,,,,1.60,,1.65,1.65,1.60,,,,1.65,,,,,,,,1.77,1.50,,,1.65,,,,1.65,,1.50,,,,,1.09,1.55,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,8.28,8.80,9.40,9.17,8.80,7.83,7.91,7.91,7.87,8.27,,7.91,5.49,7.91,7.87,7.87,10.54,7.91,7.91,8.80,7.91,7.72,8.80,7.91,7.91,7.76,8.27,,10.54,7.91,7.91,7.91,,7.78,8.22,8.27,8.64,8.36,7.76,10.54,7.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,7.31,5.71,8.62,7.31,,8.36,8.36,8.36,8.07,8.62,8.27,4.96,4.96,4.96,,,,,,,,,,4.96,4.96,8.31,8.62,,,,8.36,8.36,8.07,8.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,5.66,3.42,7.83,7.83,7.83,,7.61,7.61,7.56,7.83,3.13,4.17,7.61,7.61,7.34,3.53,4.19,4.17,4.17,3.42,4.17,4.61,4.37,4.17,4.17,7.78,7.83,4.19,7.83,4.17,7.61,7.39,7.34,7.69,7.74,7.83,3.42,7.39,7.78,7.47,7.61,3.42,3.42,3.42,3.35,3.42,4.17,4.17,3.42,,3.42,,,,,,,,,,,,,,,,,,,,,,7.17,7.17,7.17,7.61,,,,,,,7.72,7.39,,,4.39,3.42,8.27,
Arroz de Primera *,1 Kilogramos,0.87,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.87,0.88,0.88,0.88,0.84,0.84,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.86,0.87,,0.84,0.87,0.88,0.88,0.88,0.88,0.85,0.85,0.88,0.88,0.88,0.88,0.86,0.85,0.86,,,,,0.88,0.88,0.88,,,,0.88,0.88,,,0.88,0.88,0.88,,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.86,0.88,0.88,
Codito *,454 Gramos,0.91,0.90,0.96,0.96,0.60,0.71,0.71,0.71,0.76,0.86,0.83,0.71,0.71,0.71,0.77,0.69,0.60,0.79,0.79,0.90,0.79,0.88,0.63,0.71,0.71,0.75,0.87,0.60,0.49,0.71,0.71,0.71,0.65,0.60,0.76,0.85,0.70,0.77,0.65,0.60,0.79,0.75,0.45,0.45,0.60,0.71,0.79,0.79,0.77,0.75,0.77,1.00,0.95,,1.00,1.00,1.35,0.95,0.95,0.90,0.85,0.85,0.55,0.90,0.95,0.55,0.85,0.85,0.95,0.85,0.85,1.00,0.75,0.85,1.00,0.95,1.00,0.85,0.90,0.45,0.80,0.90,0.85,0.85,0.90,0.59,0.59,0.65,0.95,
Crema  de Ma°z *,300 Gramos,0.67,0.65,0.72,0.63,0.79,0.65,0.60,0.65,0.68,0.59,0.59,0.60,0.71,0.65,0.57,0.69,,0.60,0.70,0.79,0.71,0.70,0.79,0.60,0.65,0.59,0.70,0.79,0.79,0.71,0.84,0.60,0.69,0.73,0.57,0.70,,0.65,0.60,0.79,0.60,,0.59,0.59,,0.60,0.65,0.65,0.57,,0.63,,,,,,,,,,,,0.65,,,,,,,,,,,1.00,,,,,,,,,1.00,,,1.25,,0.61,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.40,2.35,2.27,2.95,2.00,1.59,1.59,1.58,2.78,2.43,1.95,1.79,2.39,2.39,1.93,1.75,2.00,1.59,1.59,2.05,1.99,2.44,2.05,1.99,1.79,1.98,1.97,2.00,2.00,1.79,1.59,1.59,2.25,1.75,1.75,2.39,,1.99,3.05,2.85,3.09,3.05,2.98,2.77,2.85,3.09,,3.05,2.96,2.63,2.96,,,,,,,,,,,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.88,0.95,0.95,0.82,0.60,0.63,0.63,0.63,0.78,0.59,0.45,0.63,0.63,0.63,0.77,0.80,0.60,0.63,0.63,0.63,0.63,0.88,0.63,0.63,0.63,0.56,0.59,0.60,0.60,0.63,0.63,0.63,0.65,0.45,0.73,0.59,0.80,0.87,0.45,0.60,0.63,,0.45,0.45,,0.63,0.63,0.63,,,0.61,1.00,0.95,0.95,,0.85,0.95,0.95,0.95,0.90,0.85,0.85,,0.85,0.95,0.90,0.85,0.59,0.95,0.85,0.85,0.85,0.59,0.85,0.85,0.75,0.80,,0.75,0.59,0.70,0.90,0.85,0.85,0.85,0.59,,0.59,,
Pan de Michita *,1 Kilogramos,3.07,3.07,3.07,3.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.75,3.70,,,,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pan Molde *,500 Gramos,0.91,0.92,0.92,0.92,,0.92,,0.92,0.90,0.92,0.91,0.92,0.92,0.92,0.90,0.90,0.92,0.92,0.92,0.92,0.92,,0.92,0.92,0.92,0.92,0.91,0.92,0.92,0.92,0.92,,0.90,,0.90,,,,,0.92,,,,,,,,,0.90,0.88,0.90,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,0.92,,,,,,0.92,,0.90,0.92,,
Tortilla de Ma°z *,10 Unidades,0.99,0.75,1.45,1.45,1.05,0.75,0.75,0.75,0.75,0.99,1.09,1.05,1.05,1.05,1.13,0.98,1.13,1.05,1.05,1.16,1.19,1.10,1.16,0.75,1.05,0.79,0.99,1.55,0.75,1.05,0.75,0.75,0.75,0.95,0.87,0.79,,0.75,0.79,0.96,1.05,0.99,0.99,1.02,0.99,,1.05,1.05,1.11,,0.95,,,,,,,,,1.10,1.25,1.00,1.00,1.15,,,,1.00,,1.00,1.00,1.15,1.00,1.00,1.00,1.00,1.00,,,,,,1.00,1.00,1.00,1.10,0.99,1.05,0.95,
Aj° Dulce y/o picoloro *,1 Kilogramos,4.40,3.85,3.95,5.45,2.35,1.99,1.99,1.99,1.97,1.99,1.65,1.99,1.99,1.99,1.63,1.63,2.36,1.99,,2.36,1.99,1.47,2.39,2.29,1.99,1.48,1.49,2.36,2.36,1.99,2.29,1.99,,1.57,1.38,1.75,,1.99,1.59,2.36,1.99,1.74,1.99,1.33,2.36,1.99,1.99,1.99,,1.93,1.96,,,,,,,,,,,,,,,,,,,,,,2.20,2.76,2.20,,,,,,,,3.86,3.31,2.20,3.31,1.30,1.30,,
Ajo *,1 Kilogramos,3.96,4.55,4.50,4.50,4.55,2.95,2.95,2.95,2.93,3.49,2.89,2.95,2.95,2.95,2.80,2.97,4.55,2.95,2.95,4.55,,,4.52,2.95,2.99,1.99,2.89,4.55,4.55,2.95,2.95,2.95,2.93,2.93,2.87,2.95,,2.95,,4.55,2.95,2.74,2.99,2.89,4.55,2.95,2.95,2.60,2.87,4.73,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.69,,
Cebolla Amarilla *,1 Kilogramos,2.05,1.75,1.76,1.76,1.75,1.09,1.09,1.09,1.43,1.76,1.76,1.09,1.29,1.09,1.27,1.27,1.75,1.29,1.29,1.76,1.65,1.76,1.50,1.76,1.76,1.49,1.76,1.75,1.76,1.29,1.29,1.95,1.27,1.07,1.74,1.31,,1.29,,1.75,1.29,1.49,1.76,1.76,1.75,1.09,1.29,1.29,,1.24,1.27,,,,,,,,,1.76,1.76,1.76,1.76,,,,,1.76,,1.76,1.76,1.43,1.32,1.76,1.76,1.76,1.76,,,1.32,,,1.76,1.76,1.76,1.76,1.36,1.76,1.76,
Lechuga *,1 Kilogramos,2.00,3.10,4.25,4.45,3.10,2.99,2.99,2.99,3.57,1.75,2.25,2.99,2.99,2.99,3.57,3.57,3.10,2.99,2.99,3.10,,2.00,3.10,2.99,2.99,2.64,2.65,3.10,3.10,,2.95,2.99,1.39,3.27,2.19,2.65,,2.99,3.75,3.10,2.99,2.91,2.25,2.25,3.10,2.99,2.99,2.99,,3.50,,,,,,,,,,3.31,,3.31,3.31,,,,,2.76,,2.20,2.20,,1.87,3.31,3.31,2.20,3.31,,,,,,,,2.20,,,2.75,2.75,
•ame Diamante *,1 Kilogramos,0.84,0.88,0.84,0.88,0.88,0.85,,0.85,0.83,0.85,0.88,0.85,0.85,0.85,0.73,,0.88,0.85,,0.88,0.85,,0.88,0.85,,0.65,0.85,0.88,0.88,0.85,,,0.86,,0.73,0.85,,0.85,0.88,0.88,0.65,0.85,0.80,0.85,0.88,0.85,0.85,,0.83,0.83,0.83,,,,,,,,,,0.88,0.88,0.88,,,,,0.88,,0.88,0.77,,0.84,,0.88,,0.88,,,,,,,,0.88,0.88,0.88,0.77,0.88,
Papa Nacional *,1 Kilogramos,1.54,1.22,1.54,1.54,1.22,1.54,1.54,1.54,1.57,,1.54,1.54,1.49,1.54,1.28,1.26,1.54,1.49,1.49,1.22,1.54,1.76,1.22,1.54,1.49,1.52,1.54,1.22,1.22,1.54,1.54,1.54,1.20,1.20,1.20,1.54,1.54,1.49,1.52,1.22,1.49,1.49,1.49,1.54,1.22,1.49,1.49,1.54,,1.18,1.20,,,,,,,,,1.54,,1.32,1.65,,,,,1.54,,1.32,1.32,1.54,1.32,1.54,1.54,1.54,1.54,,,1.32,,,1.87,1.54,1.54,1.54,,1.54,1.54,
Pl†tano Verde *,1 Unidades,0.24,0.24,0.32,0.24,0.25,0.28,0.28,0.28,0.27,0.24,0.20,,0.25,0.28,0.22,0.22,,,,0.25,0.25,0.25,0.25,0.25,0.25,0.20,0.20,0.25,,,0.28,0.28,0.24,0.21,0.20,0.22,,0.22,,,,0.22,0.22,0.22,0.25,0.25,,0.22,0.22,0.25,0.22,0.50,,,,0.40,,,,,,0.40,0.35,,0.45,,,0.40,,0.40,0.35,,0.35,0.35,0.35,0.35,0.35,,,,,,0.35,0.45,,0.40,,,,
Repollo Verde *,1 Kilogramos,1.50,1.78,3.08,3.08,1.78,2.19,,2.19,1.76,1.65,1.65,2.65,2.19,,2.23,,1.78,2.19,2.19,1.78,2.19,1.25,1.78,2.19,2.19,,1.65,1.78,1.78,2.19,2.19,2.19,1.76,,2.19,1.65,,2.19,1.89,1.78,2.19,2.25,,,1.78,2.19,,2.19,,2.77,,,,,,,,,,2.20,,2.20,2.20,,,,,2.20,,,1.65,,,3.31,2.20,1.65,2.20,,,,,,2.76,2.76,2.20,,1.52,1.72,1.65,
Tomate Nacional (Perita ¢ 3 x 3) *,1 Kilogramos,2.71,2.69,2.71,2.71,2.71,1.21,1.21,1.21,2.13,1.99,1.99,1.21,1.65,1.21,1.97,1.97,2.71,1.99,1.99,2.89,2.71,2.35,2.69,1.65,2.15,1.85,1.09,2.69,2.69,1.65,1.21,1.21,1.63,1.19,1.83,,1.85,1.99,2.65,2.69,,2.50,1.09,1.85,2.69,1.21,1.99,1.21,1.19,1.60,1.63,,,,,1.76,,,2.71,2.20,2.20,,2.20,,,,,2.71,,2.20,1.32,,,2.71,2.20,1.65,2.71,,,,,,2.71,2.71,2.20,2.71,0.86,0.86,,
Yuca *,1 Kilogramos,0.71,0.71,0.71,0.71,0.66,,,,0.83,,,,,,0.82,0.82,,,,0.66,,0.84,,,,0.59,,0.66,,,,,0.64,,,,,,,,,0.69,,,0.66,,,,0.64,,,,0.84,,,,,,,,,,,,,,,,,,,,,,0.84,,,,,,,,,,,,0.84,0.84,0.83,
Zanahoria *,1 Kilogramos,1.67,2.00,2.45,2.45,2.00,1.65,1.99,1.95,1.63,1.89,1.48,1.95,1.95,1.95,2.23,,1.67,1.65,,2.00,1.65,1.61,2.00,2.49,1.65,1.59,1.17,2.75,2.00,1.95,1.75,1.09,1.63,1.87,1.57,1.40,1.40,1.65,1.89,2.00,1.65,1.94,1.54,1.49,1.67,1.95,1.65,1.95,1.19,,1.63,,,,,,,,,2.20,2.20,2.20,1.87,,,,,2.20,,2.20,1.65,,1.65,2.76,2.20,1.65,2.20,,,2.09,,,2.76,3.31,,2.20,1.52,1.65,1.87,
Frijoles Chiricanos *,1 Kilogramos,3.09,3.20,1.94,3.00,2.54,2.54,2.54,3.20,2.05,2.84,2.84,2.84,2.54,2.54,2.51,2.98,2.98,2.84,2.54,3.06,2.54,2.89,3.06,2.62,2.54,,2.84,2.98,2.98,2.54,2.54,3.09,2.93,2.14,2.49,2.62,,2.54,2.18,2.98,2.62,2.18,2.84,2.36,,2.54,2.54,2.54,2.76,2.71,2.23,,,,,,,,,,,,,,,,,,,,,,3.42,,,,,,,,,,2.54,,,,2.98,2.87,3.20,
Lentejas *,1 Kilogramos,1.67,1.50,1.52,1.94,1.43,2.54,1.74,1.74,1.46,1.30,1.43,1.65,1.65,1.65,,2.09,1.43,1.65,1.65,1.50,1.65,1.79,1.50,1.65,1.74,1.96,1.30,1.43,1.49,1.65,1.43,1.43,1.48,2.78,2.09,1.30,1.96,1.74,1.96,1.43,1.65,1.96,1.30,1.30,1.43,1.43,1.74,1.43,1.98,1.98,1.98,2.54,2.54,2.43,,2.20,2.76,,2.20,2.65,2.76,2.54,2.65,,2.54,2.76,2.20,,2.65,2.20,,2.20,2.76,2.76,2.76,2.54,2.43,,2.54,1.65,,2.76,2.76,,,1.87,1.76,1.87,1.87,
Porotos Rojos *,1 Kilogramos,2.69,2.65,2.78,2.69,2.54,3.06,3.28,2.98,2.58,2.76,2.76,3.06,2.98,3.06,2.58,2.58,2.54,3.06,3.06,2.65,3.06,2.69,2.65,2.98,3.06,2.84,2.76,2.54,2.54,2.98,2.98,2.98,2.07,2.49,2.07,2.76,,2.98,2.62,2.54,2.76,2.36,2.76,2.76,2.54,2.54,3.06,2.54,2.49,2.14,2.49,3.31,3.64,,,3.31,2.98,3.53,2.98,2.87,3.20,3.31,3.31,,3.31,3.20,2.98,,2.98,2.98,,2.98,3.31,3.86,2.98,3.20,3.31,,3.20,,2.98,,2.98,3.42,3.20,3.20,2.54,2.54,2.54,
Guineos *,1 Kilogramos,1.01,0.99,1.15,1.15,0.99,0.99,0.99,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.82,0.82,0.95,,0.99,0.99,0.99,1.01,0.99,0.99,0.99,0.93,0.99,0.99,0.95,0.99,0.99,0.99,0.93,0.97,0.92,0.98,0.95,,0.99,0.95,0.99,,0.96,0.96,0.95,0.99,0.99,0.99,,0.93,0.94,1.20,,,,,,,,,,0.99,,,0.99,,,,,,,,0.88,1.10,1.10,1.10,1.10,,,,,,1.10,1.10,,1.10,0.88,0.86,0.99,
Manzana Roja Mediana *,1 Unidades,0.40,0.40,0.50,0.45,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,,,,,,0.35,,,0.35,,,,,,,,,,,,,,0.50,,,0.50,0.40,,0.50,0.50,,,,,,,,,,,0.50,0.50,,0.50,,,,,,0.50,0.50,0.60,0.50,0.50,,0.50,
Naranja de Jugo *,1 Kilogramos,0.86,0.84,0.86,0.86,,0.90,0.90,,,0.77,,0.90,0.90,0.90,0.75,,,0.90,,,,,,,0.90,0.83,0.77,,,,0.90,,0.88,,0.88,,,,0.83,,,0.87,,0.79,,0.90,0.90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pi§a *,1 Kilogramos,0.80,0.97,0.90,0.90,,0.95,0.95,0.95,,0.99,,,0.95,0.95,1.09,,,,,,,,,0.95,,0.98,0.99,,,0.95,0.95,1.05,,,,0.99,,1.05,0.95,,0.95,0.98,,,,,,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
